ts,value,pod
1692881903,48671.96666666667,webhosting-operator-5855979d9d-6bs6j
1692881918,52420.46666666667,webhosting-operator-5855979d9d-6bs6j
1692881933,52420.46666666667,webhosting-operator-5855979d9d-6bs6j
1692881948,157761.86666666667,webhosting-operator-5855979d9d-6bs6j
1692881963,157761.86666666667,webhosting-operator-5855979d9d-6bs6j
1692881978,180617.63333333333,webhosting-operator-5855979d9d-6bs6j
1692881993,180617.63333333333,webhosting-operator-5855979d9d-6bs6j
1692882008,125212.36666666667,webhosting-operator-5855979d9d-6bs6j
1692882023,125212.36666666667,webhosting-operator-5855979d9d-6bs6j
1692882038,224568.86666666667,webhosting-operator-5855979d9d-6bs6j
1692882053,224568.86666666667,webhosting-operator-5855979d9d-6bs6j
1692882068,213609.66666666666,webhosting-operator-5855979d9d-6bs6j
1692882083,213609.66666666666,webhosting-operator-5855979d9d-6bs6j
1692882098,223347.9,webhosting-operator-5855979d9d-6bs6j
1692882113,223347.9,webhosting-operator-5855979d9d-6bs6j
1692882128,308019.86666666664,webhosting-operator-5855979d9d-6bs6j
1692882143,308019.86666666664,webhosting-operator-5855979d9d-6bs6j
1692882158,267492.5333333333,webhosting-operator-5855979d9d-6bs6j
1692882173,267492.5333333333,webhosting-operator-5855979d9d-6bs6j
1692882188,332371.8,webhosting-operator-5855979d9d-6bs6j
1692882203,332371.8,webhosting-operator-5855979d9d-6bs6j
1692882218,258565.83333333334,webhosting-operator-5855979d9d-6bs6j
1692882233,258565.83333333334,webhosting-operator-5855979d9d-6bs6j
1692882248,473744.56666666665,webhosting-operator-5855979d9d-6bs6j
1692882263,473744.56666666665,webhosting-operator-5855979d9d-6bs6j
1692882278,213420.13333333333,webhosting-operator-5855979d9d-6bs6j
1692882293,213420.13333333333,webhosting-operator-5855979d9d-6bs6j
1692882308,428626.0333333333,webhosting-operator-5855979d9d-6bs6j
1692882323,428626.0333333333,webhosting-operator-5855979d9d-6bs6j
1692882338,367107.6666666667,webhosting-operator-5855979d9d-6bs6j
1692882353,367107.6666666667,webhosting-operator-5855979d9d-6bs6j
1692882368,358194.4666666667,webhosting-operator-5855979d9d-6bs6j
1692882383,358194.4666666667,webhosting-operator-5855979d9d-6bs6j
1692882398,429753.6,webhosting-operator-5855979d9d-6bs6j
1692882413,429753.6,webhosting-operator-5855979d9d-6bs6j
1692882428,459341.5,webhosting-operator-5855979d9d-6bs6j
1692882443,459341.5,webhosting-operator-5855979d9d-6bs6j
1692882458,234930.6,webhosting-operator-5855979d9d-6bs6j
1692882473,234930.6,webhosting-operator-5855979d9d-6bs6j
1692882488,486290.4,webhosting-operator-5855979d9d-6bs6j
1692882503,486290.4,webhosting-operator-5855979d9d-6bs6j
1692882518,359957.6,webhosting-operator-5855979d9d-6bs6j
1692882533,359957.6,webhosting-operator-5855979d9d-6bs6j
1692882548,431168,webhosting-operator-5855979d9d-6bs6j
1692882563,431168,webhosting-operator-5855979d9d-6bs6j
1692882578,419987.23333333334,webhosting-operator-5855979d9d-6bs6j
1692882593,419987.23333333334,webhosting-operator-5855979d9d-6bs6j
1692882608,401717.0333333333,webhosting-operator-5855979d9d-6bs6j
1692882623,401717.0333333333,webhosting-operator-5855979d9d-6bs6j
1692882638,364596.13333333336,webhosting-operator-5855979d9d-6bs6j
1692882653,364596.13333333336,webhosting-operator-5855979d9d-6bs6j
1692882668,486988.43333333335,webhosting-operator-5855979d9d-6bs6j
1692882683,486988.43333333335,webhosting-operator-5855979d9d-6bs6j
1692882698,379331.1,webhosting-operator-5855979d9d-6bs6j
1692882713,379331.1,webhosting-operator-5855979d9d-6bs6j
1692882728,418439.86666666664,webhosting-operator-5855979d9d-6bs6j
1692882743,418439.86666666664,webhosting-operator-5855979d9d-6bs6j
1692882758,369201.8,webhosting-operator-5855979d9d-6bs6j
1692882773,369201.8,webhosting-operator-5855979d9d-6bs6j
1692882788,384526.6666666667,webhosting-operator-5855979d9d-6bs6j
1692882803,384526.6666666667,webhosting-operator-5855979d9d-6bs6j
1692881903,65424.4,webhosting-operator-5855979d9d-9vxwp
1692881918,40926.433333333334,webhosting-operator-5855979d9d-9vxwp
1692881933,40926.433333333334,webhosting-operator-5855979d9d-9vxwp
1692881948,189890.23333333334,webhosting-operator-5855979d9d-9vxwp
1692881963,189890.23333333334,webhosting-operator-5855979d9d-9vxwp
1692881978,232199.66666666666,webhosting-operator-5855979d9d-9vxwp
1692881993,232199.66666666666,webhosting-operator-5855979d9d-9vxwp
1692882008,366924.0333333333,webhosting-operator-5855979d9d-9vxwp
1692882023,366924.0333333333,webhosting-operator-5855979d9d-9vxwp
1692882038,213562.9,webhosting-operator-5855979d9d-9vxwp
1692882053,213562.9,webhosting-operator-5855979d9d-9vxwp
1692882068,372926.0333333333,webhosting-operator-5855979d9d-9vxwp
1692882083,372926.0333333333,webhosting-operator-5855979d9d-9vxwp
1692882098,295117.3333333333,webhosting-operator-5855979d9d-9vxwp
1692882113,295117.3333333333,webhosting-operator-5855979d9d-9vxwp
1692882128,287472.63333333336,webhosting-operator-5855979d9d-9vxwp
1692882143,287472.63333333336,webhosting-operator-5855979d9d-9vxwp
1692882158,436257.06666666665,webhosting-operator-5855979d9d-9vxwp
1692882173,436257.06666666665,webhosting-operator-5855979d9d-9vxwp
1692882188,372656.73333333334,webhosting-operator-5855979d9d-9vxwp
1692882203,372656.73333333334,webhosting-operator-5855979d9d-9vxwp
1692882218,561316.8,webhosting-operator-5855979d9d-9vxwp
1692882233,561316.8,webhosting-operator-5855979d9d-9vxwp
1692882248,372266.86666666664,webhosting-operator-5855979d9d-9vxwp
1692882263,372266.86666666664,webhosting-operator-5855979d9d-9vxwp
1692882278,370732.4666666667,webhosting-operator-5855979d9d-9vxwp
1692882293,370732.4666666667,webhosting-operator-5855979d9d-9vxwp
1692882308,406153.3333333333,webhosting-operator-5855979d9d-9vxwp
1692882323,406153.3333333333,webhosting-operator-5855979d9d-9vxwp
1692882338,466156.8333333333,webhosting-operator-5855979d9d-9vxwp
1692882353,466156.8333333333,webhosting-operator-5855979d9d-9vxwp
1692882368,462212.63333333336,webhosting-operator-5855979d9d-9vxwp
1692882383,462212.63333333336,webhosting-operator-5855979d9d-9vxwp
1692882398,361508.5333333333,webhosting-operator-5855979d9d-9vxwp
1692882413,361508.5333333333,webhosting-operator-5855979d9d-9vxwp
1692882428,290352.1,webhosting-operator-5855979d9d-9vxwp
1692882443,290352.1,webhosting-operator-5855979d9d-9vxwp
1692882458,435958.8,webhosting-operator-5855979d9d-9vxwp
1692882473,435958.8,webhosting-operator-5855979d9d-9vxwp
1692882488,390921.2,webhosting-operator-5855979d9d-9vxwp
1692882503,390921.2,webhosting-operator-5855979d9d-9vxwp
1692882518,411770.63333333336,webhosting-operator-5855979d9d-9vxwp
1692882533,411770.63333333336,webhosting-operator-5855979d9d-9vxwp
1692882548,419061.9666666667,webhosting-operator-5855979d9d-9vxwp
1692882563,419061.9666666667,webhosting-operator-5855979d9d-9vxwp
1692882578,200199.9,webhosting-operator-5855979d9d-9vxwp
1692882593,200199.9,webhosting-operator-5855979d9d-9vxwp
1692882608,528195.4333333333,webhosting-operator-5855979d9d-9vxwp
1692882623,528195.4333333333,webhosting-operator-5855979d9d-9vxwp
1692882638,453339.26666666666,webhosting-operator-5855979d9d-9vxwp
1692882653,453339.26666666666,webhosting-operator-5855979d9d-9vxwp
1692882668,426930.26666666666,webhosting-operator-5855979d9d-9vxwp
1692882683,426930.26666666666,webhosting-operator-5855979d9d-9vxwp
1692882698,453873.9,webhosting-operator-5855979d9d-9vxwp
1692882713,453873.9,webhosting-operator-5855979d9d-9vxwp
1692882728,432103.76666666666,webhosting-operator-5855979d9d-9vxwp
1692882743,432103.76666666666,webhosting-operator-5855979d9d-9vxwp
1692882758,399727.4666666667,webhosting-operator-5855979d9d-9vxwp
1692882773,399727.4666666667,webhosting-operator-5855979d9d-9vxwp
1692882788,426775.13333333336,webhosting-operator-5855979d9d-9vxwp
1692882803,426775.13333333336,webhosting-operator-5855979d9d-9vxwp
1692881903,61759.63333333333,webhosting-operator-5855979d9d-mktrl
1692881918,55135.5,webhosting-operator-5855979d9d-mktrl
1692881933,55135.5,webhosting-operator-5855979d9d-mktrl
1692881948,138920.53333333333,webhosting-operator-5855979d9d-mktrl
1692881963,138920.53333333333,webhosting-operator-5855979d9d-mktrl
1692881978,186839.93333333332,webhosting-operator-5855979d9d-mktrl
1692881993,186839.93333333332,webhosting-operator-5855979d9d-mktrl
1692882008,232816,webhosting-operator-5855979d9d-mktrl
1692882023,232816,webhosting-operator-5855979d9d-mktrl
1692882038,108806.1,webhosting-operator-5855979d9d-mktrl
1692882053,108806.1,webhosting-operator-5855979d9d-mktrl
1692882068,279117.5,webhosting-operator-5855979d9d-mktrl
1692882083,279117.5,webhosting-operator-5855979d9d-mktrl
1692882098,350785.63333333336,webhosting-operator-5855979d9d-mktrl
1692882113,350785.63333333336,webhosting-operator-5855979d9d-mktrl
1692882128,180114,webhosting-operator-5855979d9d-mktrl
1692882143,180114,webhosting-operator-5855979d9d-mktrl
1692882158,334331.43333333335,webhosting-operator-5855979d9d-mktrl
1692882173,334331.43333333335,webhosting-operator-5855979d9d-mktrl
1692882188,333138.63333333336,webhosting-operator-5855979d9d-mktrl
1692882203,333138.63333333336,webhosting-operator-5855979d9d-mktrl
1692882218,365011.7,webhosting-operator-5855979d9d-mktrl
1692882233,365011.7,webhosting-operator-5855979d9d-mktrl
1692882248,384446.43333333335,webhosting-operator-5855979d9d-mktrl
1692882263,384446.43333333335,webhosting-operator-5855979d9d-mktrl
1692882278,371142.86666666664,webhosting-operator-5855979d9d-mktrl
1692882293,371142.86666666664,webhosting-operator-5855979d9d-mktrl
1692882308,504387.06666666665,webhosting-operator-5855979d9d-mktrl
1692882323,504387.06666666665,webhosting-operator-5855979d9d-mktrl
1692882338,182927.9,webhosting-operator-5855979d9d-mktrl
1692882353,182927.9,webhosting-operator-5855979d9d-mktrl
1692882368,698267.6,webhosting-operator-5855979d9d-mktrl
1692882383,698267.6,webhosting-operator-5855979d9d-mktrl
1692882398,489148.8,webhosting-operator-5855979d9d-mktrl
1692882413,489148.8,webhosting-operator-5855979d9d-mktrl
1692882428,491972.7,webhosting-operator-5855979d9d-mktrl
1692882443,491972.7,webhosting-operator-5855979d9d-mktrl
1692882458,277092.2,webhosting-operator-5855979d9d-mktrl
1692882473,277092.2,webhosting-operator-5855979d9d-mktrl
