ts,value,pod
1692856239,8967.4,webhosting-operator-549648bcc-22l2n
1692856254,8967.4,webhosting-operator-549648bcc-22l2n
1692856269,80038.93333333333,webhosting-operator-549648bcc-22l2n
1692856284,80038.93333333333,webhosting-operator-549648bcc-22l2n
1692856299,279723.63333333336,webhosting-operator-549648bcc-22l2n
1692856314,279723.63333333336,webhosting-operator-549648bcc-22l2n
1692856329,181571.56666666668,webhosting-operator-549648bcc-22l2n
1692856344,181571.56666666668,webhosting-operator-549648bcc-22l2n
1692856359,368086.8,webhosting-operator-549648bcc-22l2n
1692856374,368086.8,webhosting-operator-549648bcc-22l2n
1692856389,236128.3,webhosting-operator-549648bcc-22l2n
1692856404,236128.3,webhosting-operator-549648bcc-22l2n
1692856419,442045.1,webhosting-operator-549648bcc-22l2n
1692856434,442045.1,webhosting-operator-549648bcc-22l2n
1692856449,387716.1666666667,webhosting-operator-549648bcc-22l2n
1692856464,387716.1666666667,webhosting-operator-549648bcc-22l2n
1692856479,396651.93333333335,webhosting-operator-549648bcc-22l2n
1692856494,396651.93333333335,webhosting-operator-549648bcc-22l2n
1692856509,218683.4,webhosting-operator-549648bcc-22l2n
1692856524,218683.4,webhosting-operator-549648bcc-22l2n
1692856539,370608.4666666667,webhosting-operator-549648bcc-22l2n
1692856554,370608.4666666667,webhosting-operator-549648bcc-22l2n
1692856569,474594.1666666667,webhosting-operator-549648bcc-22l2n
1692856584,474594.1666666667,webhosting-operator-549648bcc-22l2n
1692856599,404099.13333333336,webhosting-operator-549648bcc-22l2n
1692856614,404099.13333333336,webhosting-operator-549648bcc-22l2n
1692856629,445487.36666666664,webhosting-operator-549648bcc-22l2n
1692856644,445487.36666666664,webhosting-operator-549648bcc-22l2n
1692856659,237974.66666666666,webhosting-operator-549648bcc-22l2n
1692856674,237974.66666666666,webhosting-operator-549648bcc-22l2n
1692856689,357154.5333333333,webhosting-operator-549648bcc-22l2n
1692856704,357154.5333333333,webhosting-operator-549648bcc-22l2n
1692856719,435398.6,webhosting-operator-549648bcc-22l2n
1692856734,435398.6,webhosting-operator-549648bcc-22l2n
1692856749,402258.23333333334,webhosting-operator-549648bcc-22l2n
1692856764,402258.23333333334,webhosting-operator-549648bcc-22l2n
1692856779,417794.26666666666,webhosting-operator-549648bcc-22l2n
1692856794,417794.26666666666,webhosting-operator-549648bcc-22l2n
1692856809,431370.9,webhosting-operator-549648bcc-22l2n
1692856824,431370.9,webhosting-operator-549648bcc-22l2n
1692856839,352562.8333333333,webhosting-operator-549648bcc-22l2n
1692856854,352562.8333333333,webhosting-operator-549648bcc-22l2n
1692856869,255893.8,webhosting-operator-549648bcc-22l2n
1692856884,255893.8,webhosting-operator-549648bcc-22l2n
1692856899,466642.8,webhosting-operator-549648bcc-22l2n
1692856914,466642.8,webhosting-operator-549648bcc-22l2n
1692856929,235373.6,webhosting-operator-549648bcc-22l2n
1692856944,235373.6,webhosting-operator-549648bcc-22l2n
1692856959,454226.6666666667,webhosting-operator-549648bcc-22l2n
1692856974,454226.6666666667,webhosting-operator-549648bcc-22l2n
