ts,value,pod
1692862285,8465.8,webhosting-operator-759985d858-7dsd7
1692862300,4937.733333333334,webhosting-operator-759985d858-7dsd7
1692862315,4937.733333333334,webhosting-operator-759985d858-7dsd7
1692862330,262112.1,webhosting-operator-759985d858-7dsd7
1692862345,262112.1,webhosting-operator-759985d858-7dsd7
1692862360,198104.03333333333,webhosting-operator-759985d858-7dsd7
1692862375,198104.03333333333,webhosting-operator-759985d858-7dsd7
1692862390,387616.8333333333,webhosting-operator-759985d858-7dsd7
1692862405,387616.8333333333,webhosting-operator-759985d858-7dsd7
1692862420,201682.9,webhosting-operator-759985d858-7dsd7
1692862435,201682.9,webhosting-operator-759985d858-7dsd7
1692862450,427672.23333333334,webhosting-operator-759985d858-7dsd7
1692862465,427672.23333333334,webhosting-operator-759985d858-7dsd7
1692862480,494656.43333333335,webhosting-operator-759985d858-7dsd7
1692862495,494656.43333333335,webhosting-operator-759985d858-7dsd7
1692862510,204351.53333333333,webhosting-operator-759985d858-7dsd7
1692862525,204351.53333333333,webhosting-operator-759985d858-7dsd7
1692862540,532461.9,webhosting-operator-759985d858-7dsd7
1692862555,532461.9,webhosting-operator-759985d858-7dsd7
1692862570,398043.5333333333,webhosting-operator-759985d858-7dsd7
1692862585,398043.5333333333,webhosting-operator-759985d858-7dsd7
1692862600,376474.6666666667,webhosting-operator-759985d858-7dsd7
1692862615,376474.6666666667,webhosting-operator-759985d858-7dsd7
1692862630,404438.8,webhosting-operator-759985d858-7dsd7
1692862645,404438.8,webhosting-operator-759985d858-7dsd7
1692862660,351332.7,webhosting-operator-759985d858-7dsd7
1692862675,351332.7,webhosting-operator-759985d858-7dsd7
1692862690,417425.3007631552,webhosting-operator-759985d858-7dsd7
1692862705,417425.3007631552,webhosting-operator-759985d858-7dsd7
1692862720,327885.8400293402,webhosting-operator-759985d858-7dsd7
1692862735,327885.8400293402,webhosting-operator-759985d858-7dsd7
1692862750,464026.76666666666,webhosting-operator-759985d858-7dsd7
1692862765,464026.76666666666,webhosting-operator-759985d858-7dsd7
1692862780,392144.1666666667,webhosting-operator-759985d858-7dsd7
1692862795,392144.1666666667,webhosting-operator-759985d858-7dsd7
1692862810,353771.63333333336,webhosting-operator-759985d858-7dsd7
1692862825,353771.63333333336,webhosting-operator-759985d858-7dsd7
1692862840,368347.26666666666,webhosting-operator-759985d858-7dsd7
1692862855,368347.26666666666,webhosting-operator-759985d858-7dsd7
1692862870,337396.4,webhosting-operator-759985d858-7dsd7
1692862885,337396.4,webhosting-operator-759985d858-7dsd7
1692862900,441550.5,webhosting-operator-759985d858-7dsd7
1692862915,441550.5,webhosting-operator-759985d858-7dsd7
1692862930,417903.9666666667,webhosting-operator-759985d858-7dsd7
1692862945,417903.9666666667,webhosting-operator-759985d858-7dsd7
1692862960,365558.93333333335,webhosting-operator-759985d858-7dsd7
1692862975,365558.93333333335,webhosting-operator-759985d858-7dsd7
1692862990,506647.0333333333,webhosting-operator-759985d858-7dsd7
1692863005,506647.0333333333,webhosting-operator-759985d858-7dsd7
1692863020,435076.76666666666,webhosting-operator-759985d858-7dsd7
1692863035,435076.76666666666,webhosting-operator-759985d858-7dsd7
1692863050,216272.3,webhosting-operator-759985d858-7dsd7
1692863065,216272.3,webhosting-operator-759985d858-7dsd7
1692863080,560371.4666666667,webhosting-operator-759985d858-7dsd7
1692863095,560371.4666666667,webhosting-operator-759985d858-7dsd7
1692863110,562172.1,webhosting-operator-759985d858-7dsd7
1692863125,562172.1,webhosting-operator-759985d858-7dsd7
1692863140,490701.93333333335,webhosting-operator-759985d858-7dsd7
1692863155,490701.93333333335,webhosting-operator-759985d858-7dsd7
1692863170,662721.7333333333,webhosting-operator-759985d858-7dsd7
1692863185,662721.7333333333,webhosting-operator-759985d858-7dsd7
1692862285,16366.633333333333,webhosting-operator-759985d858-7qfb6
1692862300,12708.633333333333,webhosting-operator-759985d858-7qfb6
1692862315,12708.633333333333,webhosting-operator-759985d858-7qfb6
1692862330,618175.6333333333,webhosting-operator-759985d858-7qfb6
1692862345,618175.6333333333,webhosting-operator-759985d858-7qfb6
1692862360,678479.3666666667,webhosting-operator-759985d858-7qfb6
1692862375,678479.3666666667,webhosting-operator-759985d858-7qfb6
1692862390,850655.4333333333,webhosting-operator-759985d858-7qfb6
1692862405,850655.4333333333,webhosting-operator-759985d858-7qfb6
1692862420,761097,webhosting-operator-759985d858-7qfb6
1692862435,761097,webhosting-operator-759985d858-7qfb6
1692862450,989657.6666666666,webhosting-operator-759985d858-7qfb6
1692862465,989657.6666666666,webhosting-operator-759985d858-7qfb6
1692862480,867438.5666666667,webhosting-operator-759985d858-7qfb6
1692862495,867438.5666666667,webhosting-operator-759985d858-7qfb6
1692862510,623779.6666666666,webhosting-operator-759985d858-7qfb6
1692862525,623779.6666666666,webhosting-operator-759985d858-7qfb6
1692862540,1320409.1,webhosting-operator-759985d858-7qfb6
1692862555,1320409.1,webhosting-operator-759985d858-7qfb6
1692862570,898728,webhosting-operator-759985d858-7qfb6
1692862585,898728,webhosting-operator-759985d858-7qfb6
1692862600,1051973.8,webhosting-operator-759985d858-7qfb6
1692862615,1051973.8,webhosting-operator-759985d858-7qfb6
1692862630,960490.9666666667,webhosting-operator-759985d858-7qfb6
1692862645,960490.9666666667,webhosting-operator-759985d858-7qfb6
1692862660,597472.9,webhosting-operator-759985d858-7qfb6
1692862675,597472.9,webhosting-operator-759985d858-7qfb6
1692862690,1168218.8489352483,webhosting-operator-759985d858-7qfb6
1692862705,1168218.8489352483,webhosting-operator-759985d858-7qfb6
1692862720,803266.1287633781,webhosting-operator-759985d858-7qfb6
1692862735,803266.1287633781,webhosting-operator-759985d858-7qfb6
1692862750,1070520.5333333334,webhosting-operator-759985d858-7qfb6
1692862765,1070520.5333333334,webhosting-operator-759985d858-7qfb6
1692862780,1048688.9333333333,webhosting-operator-759985d858-7qfb6
1692862795,1048688.9333333333,webhosting-operator-759985d858-7qfb6
1692862810,1006741.4666666667,webhosting-operator-759985d858-7qfb6
1692862825,1006741.4666666667,webhosting-operator-759985d858-7qfb6
1692862840,945950.0333333333,webhosting-operator-759985d858-7qfb6
1692862855,945950.0333333333,webhosting-operator-759985d858-7qfb6
1692862870,1335312.1666666667,webhosting-operator-759985d858-7qfb6
1692862885,1335312.1666666667,webhosting-operator-759985d858-7qfb6
1692862900,975726.7666666667,webhosting-operator-759985d858-7qfb6
1692862915,975726.7666666667,webhosting-operator-759985d858-7qfb6
1692862930,890633.4666666667,webhosting-operator-759985d858-7qfb6
1692862945,890633.4666666667,webhosting-operator-759985d858-7qfb6
1692862960,1004944.2,webhosting-operator-759985d858-7qfb6
1692862975,1004944.2,webhosting-operator-759985d858-7qfb6
1692862990,594491.6,webhosting-operator-759985d858-7qfb6
1692863005,594491.6,webhosting-operator-759985d858-7qfb6
1692863020,1212235.0333333334,webhosting-operator-759985d858-7qfb6
1692863035,1212235.0333333334,webhosting-operator-759985d858-7qfb6
1692863050,836574.2333333333,webhosting-operator-759985d858-7qfb6
1692863065,836574.2333333333,webhosting-operator-759985d858-7qfb6
1692863080,1264360,webhosting-operator-759985d858-7qfb6
1692863095,1264360,webhosting-operator-759985d858-7qfb6
1692863110,614732.9,webhosting-operator-759985d858-7qfb6
1692863125,614732.9,webhosting-operator-759985d858-7qfb6
1692863140,1262281.7333333334,webhosting-operator-759985d858-7qfb6
1692863155,1262281.7333333334,webhosting-operator-759985d858-7qfb6
1692863170,1043840.9666666667,webhosting-operator-759985d858-7qfb6
1692863185,1043840.9666666667,webhosting-operator-759985d858-7qfb6
1692862285,6088.2,webhosting-operator-759985d858-p6vxj
1692862300,9221.9,webhosting-operator-759985d858-p6vxj
1692862315,9221.9,webhosting-operator-759985d858-p6vxj
1692862330,168940.46666666667,webhosting-operator-759985d858-p6vxj
1692862345,168940.46666666667,webhosting-operator-759985d858-p6vxj
1692862360,282450.5333333333,webhosting-operator-759985d858-p6vxj
1692862375,282450.5333333333,webhosting-operator-759985d858-p6vxj
1692862390,255561.83333333334,webhosting-operator-759985d858-p6vxj
1692862405,255561.83333333334,webhosting-operator-759985d858-p6vxj
1692862420,327582.73333333334,webhosting-operator-759985d858-p6vxj
1692862435,327582.73333333334,webhosting-operator-759985d858-p6vxj
1692862450,485414.9666666667,webhosting-operator-759985d858-p6vxj
1692862465,485414.9666666667,webhosting-operator-759985d858-p6vxj
1692862480,216357.96666666667,webhosting-operator-759985d858-p6vxj
1692862495,216357.96666666667,webhosting-operator-759985d858-p6vxj
1692862510,419268.73333333334,webhosting-operator-759985d858-p6vxj
1692862525,419268.73333333334,webhosting-operator-759985d858-p6vxj
1692862540,337502.8,webhosting-operator-759985d858-p6vxj
1692862555,337502.8,webhosting-operator-759985d858-p6vxj
1692862570,514560.5333333333,webhosting-operator-759985d858-p6vxj
1692862585,514560.5333333333,webhosting-operator-759985d858-p6vxj
1692862600,219491.4,webhosting-operator-759985d858-p6vxj
1692862615,219491.4,webhosting-operator-759985d858-p6vxj
1692862630,455066.3333333333,webhosting-operator-759985d858-p6vxj
1692862645,455066.3333333333,webhosting-operator-759985d858-p6vxj
1692862660,400796.9666666667,webhosting-operator-759985d858-p6vxj
1692862675,400796.9666666667,webhosting-operator-759985d858-p6vxj
1692862690,372411.9705402073,webhosting-operator-759985d858-p6vxj
1692862705,372411.9705402073,webhosting-operator-759985d858-p6vxj
1692862720,397122.56193111726,webhosting-operator-759985d858-p6vxj
1692862735,397122.56193111726,webhosting-operator-759985d858-p6vxj
1692862750,369072.56666666665,webhosting-operator-759985d858-p6vxj
1692862765,369072.56666666665,webhosting-operator-759985d858-p6vxj
1692862780,366634.9666666667,webhosting-operator-759985d858-p6vxj
1692862795,366634.9666666667,webhosting-operator-759985d858-p6vxj
1692862810,544549.2333333333,webhosting-operator-759985d858-p6vxj
1692862825,544549.2333333333,webhosting-operator-759985d858-p6vxj
1692862840,246507.8,webhosting-operator-759985d858-p6vxj
1692862855,246507.8,webhosting-operator-759985d858-p6vxj
1692862870,536060.9,webhosting-operator-759985d858-p6vxj
1692862885,536060.9,webhosting-operator-759985d858-p6vxj
1692862900,427464.26666666666,webhosting-operator-759985d858-p6vxj
1692862915,427464.26666666666,webhosting-operator-759985d858-p6vxj
1692862930,233543.43333333332,webhosting-operator-759985d858-p6vxj
1692862945,233543.43333333332,webhosting-operator-759985d858-p6vxj
1692862960,415243.3,webhosting-operator-759985d858-p6vxj
1692862975,415243.3,webhosting-operator-759985d858-p6vxj
1692862990,443524.6666666667,webhosting-operator-759985d858-p6vxj
1692863005,443524.6666666667,webhosting-operator-759985d858-p6vxj
1692863020,391024.7,webhosting-operator-759985d858-p6vxj
1692863035,391024.7,webhosting-operator-759985d858-p6vxj
1692863050,242345.56666666668,webhosting-operator-759985d858-p6vxj
1692863065,242345.56666666668,webhosting-operator-759985d858-p6vxj
1692863080,558207.2666666667,webhosting-operator-759985d858-p6vxj
1692863095,558207.2666666667,webhosting-operator-759985d858-p6vxj
1692863110,593955.8,webhosting-operator-759985d858-p6vxj
1692863125,593955.8,webhosting-operator-759985d858-p6vxj
1692863140,326969,webhosting-operator-759985d858-p6vxj
1692863155,326969,webhosting-operator-759985d858-p6vxj
1692863170,592970.1666666666,webhosting-operator-759985d858-p6vxj
1692863185,592970.1666666666,webhosting-operator-759985d858-p6vxj
