ts,value,pod
1692862285,25166.433333333334,webhosting-operator-759985d858-7dsd7
1692862300,19052.9,webhosting-operator-759985d858-7dsd7
1692862315,19052.9,webhosting-operator-759985d858-7dsd7
1692862330,164931.6,webhosting-operator-759985d858-7dsd7
1692862345,164931.6,webhosting-operator-759985d858-7dsd7
1692862360,128669.96666666666,webhosting-operator-759985d858-7dsd7
1692862375,128669.96666666666,webhosting-operator-759985d858-7dsd7
1692862390,218925.83333333334,webhosting-operator-759985d858-7dsd7
1692862405,218925.83333333334,webhosting-operator-759985d858-7dsd7
1692862420,111091.43333333333,webhosting-operator-759985d858-7dsd7
1692862435,111091.43333333333,webhosting-operator-759985d858-7dsd7
1692862450,221067,webhosting-operator-759985d858-7dsd7
1692862465,221067,webhosting-operator-759985d858-7dsd7
1692862480,247380,webhosting-operator-759985d858-7dsd7
1692862495,247380,webhosting-operator-759985d858-7dsd7
1692862510,101737.93333333333,webhosting-operator-759985d858-7dsd7
1692862525,101737.93333333333,webhosting-operator-759985d858-7dsd7
1692862540,269935.0333333333,webhosting-operator-759985d858-7dsd7
1692862555,269935.0333333333,webhosting-operator-759985d858-7dsd7
1692862570,197804.16666666666,webhosting-operator-759985d858-7dsd7
1692862585,197804.16666666666,webhosting-operator-759985d858-7dsd7
1692862600,189220.83333333334,webhosting-operator-759985d858-7dsd7
1692862615,189220.83333333334,webhosting-operator-759985d858-7dsd7
1692862630,199327.46666666667,webhosting-operator-759985d858-7dsd7
1692862645,199327.46666666667,webhosting-operator-759985d858-7dsd7
1692862660,173139.73333333334,webhosting-operator-759985d858-7dsd7
1692862675,173139.73333333334,webhosting-operator-759985d858-7dsd7
1692862690,205051.18805612024,webhosting-operator-759985d858-7dsd7
1692862705,205051.18805612024,webhosting-operator-759985d858-7dsd7
1692862720,161217.4840796186,webhosting-operator-759985d858-7dsd7
1692862735,161217.4840796186,webhosting-operator-759985d858-7dsd7
1692862750,227189.66666666666,webhosting-operator-759985d858-7dsd7
1692862765,227189.66666666666,webhosting-operator-759985d858-7dsd7
1692862780,190847.6,webhosting-operator-759985d858-7dsd7
1692862795,190847.6,webhosting-operator-759985d858-7dsd7
1692862810,170018.16666666666,webhosting-operator-759985d858-7dsd7
1692862825,170018.16666666666,webhosting-operator-759985d858-7dsd7
1692862840,177777.73333333334,webhosting-operator-759985d858-7dsd7
