ts,value,resource,scope
1706625562,0.0995,deployments,cluster
1706625562,0.049499999999999995,verticalpodautoscalers,namespace
1706625562,0.09899999999999999,configmaps,cluster
1706625562,0.024800000000000003,clusteradmissionreports,cluster
1706625562,0.04654997896614873,clusterroles,cluster
1706625562,0.04112513837753683,namespaces,cluster
1706625562,0.5959999999999999,websites,cluster
1706625562,0.03350038745710292,clusterrings,cluster
1706625562,0.06550055351014747,themes,cluster
1706625562,0.035500387457102864,nodes,cluster
1706625562,0.06699712142857182,leases,namespace
1706625562,0.0245304347826087,mutatingwebhookconfigurations,cluster
1706625562,0.018399999999999958,verticalpodautoscalercheckpoints,namespace
1706625562,0.3921818428845455,services,cluster
1706625562,0.0248,admissionreports,cluster
1706625562,0.0049499999999999995,limitranges,namespace
1706625562,0.02494547654171824,pods,namespace
1706625562,0.0430416666666666,horizontalpodautoscalers,cluster
1706625562,0.02448000000000001,horizontalpodautoscalers,namespace
1706625562,0.024082204997249,resourcequotas,namespace
1706625562,0.04325000000000003,secrets,namespace
1706625562,0.09899999999999999,ingresses,cluster
1706625562,0.024169230769230776,validatingwebhookconfigurations,cluster
1706625562,0.5765724271805035,customresourcedefinitions,cluster
