ts,value,controller
1707156982,0.8342999999999999,website-deleter
1707156997,1.3342999999999998,website-deleter
1707157012,2.0000000000000004,website-deleter
1707157027,2,website-deleter
1707157042,2.0000000000000004,website-deleter
1707157057,2,website-deleter
1707157072,2.0000000000000004,website-deleter
1707157087,2,website-deleter
1707157102,2.0000000000000004,website-deleter
1707157117,2,website-deleter
1707157132,2.0000000000000004,website-deleter
1707157147,2,website-deleter
1707157162,2.0000000000000004,website-deleter
1707157177,2,website-deleter
1707157192,2.0000000000000004,website-deleter
1707157207,2,website-deleter
1707157222,2.0000000000000004,website-deleter
1707157237,2,website-deleter
1707157252,2.0000000000000004,website-deleter
1707157267,2,website-deleter
1707157282,2.0000000000000004,website-deleter
1707157297,2,website-deleter
1707157312,2.0000000000000004,website-deleter
1707157327,2,website-deleter
1707157342,2.0000000000000004,website-deleter
1707157357,2,website-deleter
1707157372,2.0000000000000004,website-deleter
1707157387,2,website-deleter
1707157402,2.0000000000000004,website-deleter
1707157417,2,website-deleter
1707157432,2.0000000000000004,website-deleter
1707157447,2,website-deleter
1707157462,2.0000000000000004,website-deleter
1707157477,2,website-deleter
1707157492,2.0000000000000004,website-deleter
1707157507,2,website-deleter
1707157522,2.0000000000000004,website-deleter
1707157537,2,website-deleter
1707157552,2.0000000000000004,website-deleter
1707157567,2,website-deleter
1707157582,2.0000000000000004,website-deleter
1707157597,2,website-deleter
1707157612,2.0000000000000004,website-deleter
1707157627,2.0012007204322595,website-deleter
1707157642,2.0000000000000004,website-deleter
1707157657,2,website-deleter
1707157672,2.0000000000000004,website-deleter
1707157687,2,website-deleter
1707157702,2.0000000000000004,website-deleter
1707157717,2,website-deleter
1707157732,2.0000000000000004,website-deleter
1707157747,2,website-deleter
1707157762,2.0000000000000004,website-deleter
1707157777,2,website-deleter
1707157792,2.0000000000000004,website-deleter
1707157807,2,website-deleter
1707157822,2.0000000000000004,website-deleter
1707157837,2,website-deleter
1707157852,2.0000000000000004,website-deleter
1707156982,6.1058,website-generator
1707156997,9.105799999999999,website-generator
1707157012,12.000000000000002,website-generator
1707157027,12,website-generator
1707157042,12.000000000000002,website-generator
1707157057,12,website-generator
1707157072,12.000000000000002,website-generator
1707157087,12,website-generator
1707157102,12.000000000000002,website-generator
1707157117,12,website-generator
