ts,value
1706624677,95
1706624692,243
1706624707,401
1706624722,536
1706624737,706
1706624752,836
1706624767,1008
1706624782,1138
1706624797,1300
1706624812,1443
1706624827,1606
1706624842,1735
1706624857,1905
1706624872,2039
1706624887,2205
1706624902,2340
1706624917,2506
1706624932,2641
1706624947,2808
1706624962,2940
1706624977,3101
1706624992,3249
1706625007,3401
1706625022,3543
1706625037,3701
1706625052,3840
1706625067,3994
1706625082,4137
1706625097,4303
1706625112,4439
1706625127,4608
1706625142,4738
1706625157,4906
1706625172,5040
1706625187,5199
1706625202,5340
1706625217,5492
1706625232,5644
1706625247,5805
1706625262,5945
1706625277,6104
1706625292,6241
1706625307,6409
1706625322,6539
1706625337,6707
1706625352,6834
1706625367,7005
1706625382,7137
1706625397,7299
1706625412,7439
1706625427,7603
1706625442,7741
1706625457,7898
1706625472,8041
1706625487,8204
1706625502,8344
1706625517,8500
1706625532,8635
1706625547,8790
1706625562,8936
