ts,value,namespace,pod
1706624662,1250.9454283333334,sharding-system,sharder-6fb8f67fb8-cgm7c
1706624662,11834.791953888887,sharding-system,sharder-6fb8f67fb8-dj8wz
1706624677,19080.136157499997,sharding-system,sharder-6fb8f67fb8-dj8wz
1706624692,49913.86492366666,sharding-system,sharder-6fb8f67fb8-dj8wz
1706624707,90873.42,sharding-system,sharder-6fb8f67fb8-dj8wz
1706624722,108579.8,sharding-system,sharder-6fb8f67fb8-dj8wz
1706624737,154199.74,sharding-system,sharder-6fb8f67fb8-dj8wz
1706624752,119647.02,sharding-system,sharder-6fb8f67fb8-dj8wz
1706624767,123028.64,sharding-system,sharder-6fb8f67fb8-dj8wz
1706624782,164180.56,sharding-system,sharder-6fb8f67fb8-dj8wz
1706624797,164180.56,sharding-system,sharder-6fb8f67fb8-dj8wz
1706624812,154615.02,sharding-system,sharder-6fb8f67fb8-dj8wz
1706624827,137533.02,sharding-system,sharder-6fb8f67fb8-dj8wz
1706624842,150774.26,sharding-system,sharder-6fb8f67fb8-dj8wz
1706624857,117806.74,sharding-system,sharder-6fb8f67fb8-dj8wz
1706624872,97746.82,sharding-system,sharder-6fb8f67fb8-dj8wz
1706624887,119232.90000000001,sharding-system,sharder-6fb8f67fb8-dj8wz
1706624902,125376.52,sharding-system,sharder-6fb8f67fb8-dj8wz
1706624917,127335.78,sharding-system,sharder-6fb8f67fb8-dj8wz
1706624932,120159.22,sharding-system,sharder-6fb8f67fb8-dj8wz
1706624947,120159.22,sharding-system,sharder-6fb8f67fb8-dj8wz
1706624962,149015.46,sharding-system,sharder-6fb8f67fb8-dj8wz
1706624977,187088.98,sharding-system,sharder-6fb8f67fb8-dj8wz
1706624992,189020.48,sharding-system,sharder-6fb8f67fb8-dj8wz
1706625007,113419.22,sharding-system,sharder-6fb8f67fb8-dj8wz
1706625022,126202.34,sharding-system,sharder-6fb8f67fb8-dj8wz
1706625037,126202.34,sharding-system,sharder-6fb8f67fb8-dj8wz
1706625052,118105.06,sharding-system,sharder-6fb8f67fb8-dj8wz
1706625067,123182.16,sharding-system,sharder-6fb8f67fb8-dj8wz
1706625082,127112.32,sharding-system,sharder-6fb8f67fb8-dj8wz
1706625097,126973.06,sharding-system,sharder-6fb8f67fb8-dj8wz
1706625112,153836.22,sharding-system,sharder-6fb8f67fb8-dj8wz
1706625127,111970.40000000001,sharding-system,sharder-6fb8f67fb8-dj8wz
1706625142,159817.2,sharding-system,sharder-6fb8f67fb8-dj8wz
1706625157,167902.36000000002,sharding-system,sharder-6fb8f67fb8-dj8wz
1706625172,159689.94,sharding-system,sharder-6fb8f67fb8-dj8wz
1706625187,159516.28,sharding-system,sharder-6fb8f67fb8-dj8wz
1706625202,110078.8,sharding-system,sharder-6fb8f67fb8-dj8wz
1706625217,147851.78,sharding-system,sharder-6fb8f67fb8-dj8wz
1706625232,96263.34,sharding-system,sharder-6fb8f67fb8-dj8wz
1706625247,112177.12,sharding-system,sharder-6fb8f67fb8-dj8wz
1706625262,183802,sharding-system,sharder-6fb8f67fb8-dj8wz
1706625277,215585.1,sharding-system,sharder-6fb8f67fb8-dj8wz
1706625292,229046.72,sharding-system,sharder-6fb8f67fb8-dj8wz
1706625307,158903.24,sharding-system,sharder-6fb8f67fb8-dj8wz
1706625322,131859.18,sharding-system,sharder-6fb8f67fb8-dj8wz
1706625337,172405.88,sharding-system,sharder-6fb8f67fb8-dj8wz
1706625352,110314.54000000001,sharding-system,sharder-6fb8f67fb8-dj8wz
1706625367,147843.80000000002,sharding-system,sharder-6fb8f67fb8-dj8wz
1706625382,103736.26000000001,sharding-system,sharder-6fb8f67fb8-dj8wz
1706625397,150839.2,sharding-system,sharder-6fb8f67fb8-dj8wz
1706625412,153409.24,sharding-system,sharder-6fb8f67fb8-dj8wz
1706625427,122609,sharding-system,sharder-6fb8f67fb8-dj8wz
1706625442,128805.82,sharding-system,sharder-6fb8f67fb8-dj8wz
1706625457,144802.88,sharding-system,sharder-6fb8f67fb8-dj8wz
1706625472,165400.24,sharding-system,sharder-6fb8f67fb8-dj8wz
1706625487,112100.48,sharding-system,sharder-6fb8f67fb8-dj8wz
1706625502,141697.74,sharding-system,sharder-6fb8f67fb8-dj8wz
1706625517,196756.58000000002,sharding-system,sharder-6fb8f67fb8-dj8wz
1706625532,200697.6,sharding-system,sharder-6fb8f67fb8-dj8wz
1706625547,147292.5,sharding-system,sharder-6fb8f67fb8-dj8wz
1706625562,132500.12,sharding-system,sharder-6fb8f67fb8-dj8wz
1706624662,3544.8290516666666,sharding-system,sharder-6fb8f67fb8-kmmwg
1706624662,2450.7268958333334,sharding-system,sharder-6fb8f67fb8-xdlp6
1706624677,22680.50153208333,sharding-system,sharder-6fb8f67fb8-xdlp6
1706624692,51019.60823733334,sharding-system,sharder-6fb8f67fb8-xdlp6
1706624707,69592.41765566668,sharding-system,sharder-6fb8f67fb8-xdlp6
1706624722,97056.302868,sharding-system,sharder-6fb8f67fb8-xdlp6
1706624737,67390.46,sharding-system,sharder-6fb8f67fb8-xdlp6
1706624752,96729.40000000001,sharding-system,sharder-6fb8f67fb8-xdlp6
1706624767,74950.92,sharding-system,sharder-6fb8f67fb8-xdlp6
1706624782,56743.880000000005,sharding-system,sharder-6fb8f67fb8-xdlp6
1706624797,76838.1,sharding-system,sharder-6fb8f67fb8-xdlp6
1706624812,98740.48,sharding-system,sharder-6fb8f67fb8-xdlp6
1706624827,95617.34,sharding-system,sharder-6fb8f67fb8-xdlp6
1706624842,95988.74,sharding-system,sharder-6fb8f67fb8-xdlp6
1706624857,86518.94,sharding-system,sharder-6fb8f67fb8-xdlp6
1706624872,86518.94,sharding-system,sharder-6fb8f67fb8-xdlp6
1706624887,100862.64,sharding-system,sharder-6fb8f67fb8-xdlp6
1706624902,131599.16,sharding-system,sharder-6fb8f67fb8-xdlp6
1706624917,119522.72,sharding-system,sharder-6fb8f67fb8-xdlp6
1706624932,97205.14,sharding-system,sharder-6fb8f67fb8-xdlp6
1706624947,83836.72,sharding-system,sharder-6fb8f67fb8-xdlp6
1706624962,83836.72,sharding-system,sharder-6fb8f67fb8-xdlp6
1706624977,97553.7,sharding-system,sharder-6fb8f67fb8-xdlp6
