ts,value,namespace,pod
1707156952,11786.52,sharding-system,sharder-7755f98ff4-4khvd
1707156967,10412.26,sharding-system,sharder-7755f98ff4-4khvd
1707156982,18378.24,sharding-system,sharder-7755f98ff4-4khvd
1707156997,25306.940000000002,sharding-system,sharder-7755f98ff4-4khvd
1707157012,28278.52,sharding-system,sharder-7755f98ff4-4khvd
1707157027,30631.28,sharding-system,sharder-7755f98ff4-4khvd
1707157042,30376.82,sharding-system,sharder-7755f98ff4-4khvd
1707157057,37056.12,sharding-system,sharder-7755f98ff4-4khvd
1707157072,28329.38,sharding-system,sharder-7755f98ff4-4khvd
1707157087,37827.5,sharding-system,sharder-7755f98ff4-4khvd
1707157102,30905.920000000002,sharding-system,sharder-7755f98ff4-4khvd
1707157117,32049.2,sharding-system,sharder-7755f98ff4-4khvd
1707157132,35616.78,sharding-system,sharder-7755f98ff4-4khvd
1707157147,37349.16,sharding-system,sharder-7755f98ff4-4khvd
1707157162,39258.08,sharding-system,sharder-7755f98ff4-4khvd
1707157177,39088.200000000004,sharding-system,sharder-7755f98ff4-4khvd
1707157192,39121.08,sharding-system,sharder-7755f98ff4-4khvd
1707157207,48916.48,sharding-system,sharder-7755f98ff4-4khvd
1707157222,40994.14,sharding-system,sharder-7755f98ff4-4khvd
1707157237,40994.14,sharding-system,sharder-7755f98ff4-4khvd
1707157252,41787.1,sharding-system,sharder-7755f98ff4-4khvd
1707157267,30650.66,sharding-system,sharder-7755f98ff4-4khvd
1707157282,46750.4,sharding-system,sharder-7755f98ff4-4khvd
1707157297,44626.46,sharding-system,sharder-7755f98ff4-4khvd
1707157312,49748.42,sharding-system,sharder-7755f98ff4-4khvd
1707157327,41140.28,sharding-system,sharder-7755f98ff4-4khvd
1707157342,33633.74,sharding-system,sharder-7755f98ff4-4khvd
1707157357,43939.6,sharding-system,sharder-7755f98ff4-4khvd
1707157372,36211.38,sharding-system,sharder-7755f98ff4-4khvd
1707157387,34486.38,sharding-system,sharder-7755f98ff4-4khvd
1707157402,33066.58,sharding-system,sharder-7755f98ff4-4khvd
1707157417,32318.72,sharding-system,sharder-7755f98ff4-4khvd
1707157432,38154.8,sharding-system,sharder-7755f98ff4-4khvd
1707157447,44580.76,sharding-system,sharder-7755f98ff4-4khvd
1707157462,40909.44,sharding-system,sharder-7755f98ff4-4khvd
1707157477,40909.44,sharding-system,sharder-7755f98ff4-4khvd
1707157492,22122.84,sharding-system,sharder-7755f98ff4-4khvd
1707157507,36001.56,sharding-system,sharder-7755f98ff4-4khvd
1707157522,46204.520000000004,sharding-system,sharder-7755f98ff4-4khvd
1707157537,43429.8,sharding-system,sharder-7755f98ff4-4khvd
1707157552,38224.44,sharding-system,sharder-7755f98ff4-4khvd
1707157567,43754.56,sharding-system,sharder-7755f98ff4-4khvd
1707157582,34928.38,sharding-system,sharder-7755f98ff4-4khvd
1707157597,43843.44,sharding-system,sharder-7755f98ff4-4khvd
1707157612,36054.72,sharding-system,sharder-7755f98ff4-4khvd
1707157627,47468.8,sharding-system,sharder-7755f98ff4-4khvd
1707157642,42615.94,sharding-system,sharder-7755f98ff4-4khvd
1707157657,37825.14,sharding-system,sharder-7755f98ff4-4khvd
1707157672,43327.62,sharding-system,sharder-7755f98ff4-4khvd
1707157687,57739.200000000004,sharding-system,sharder-7755f98ff4-4khvd
1707157702,41667.14,sharding-system,sharder-7755f98ff4-4khvd
1707157717,54986.42,sharding-system,sharder-7755f98ff4-4khvd
1707157732,37632.54,sharding-system,sharder-7755f98ff4-4khvd
1707157747,47263.58836939567,sharding-system,sharder-7755f98ff4-4khvd
1707157762,41447.8,sharding-system,sharder-7755f98ff4-4khvd
1707157777,41447.8,sharding-system,sharder-7755f98ff4-4khvd
1707157792,40910.20922510701,sharding-system,sharder-7755f98ff4-4khvd
1707157807,41547.66,sharding-system,sharder-7755f98ff4-4khvd
1707157822,53079.78,sharding-system,sharder-7755f98ff4-4khvd
1707157837,40588.68,sharding-system,sharder-7755f98ff4-4khvd
1707157852,46347.94,sharding-system,sharder-7755f98ff4-4khvd
1707156952,25120.32,sharding-system,sharder-7755f98ff4-xr5md
1707156967,17640.28,sharding-system,sharder-7755f98ff4-xr5md
1707156982,30536.940000000002,sharding-system,sharder-7755f98ff4-xr5md
1707156997,39478.24,sharding-system,sharder-7755f98ff4-xr5md
