ts,value,controller
1706633482,1.0425,website-deleter
1706633497,1.5425,website-deleter
1706633512,2,website-deleter
1706633527,2,website-deleter
1706633542,1.999640064788338,website-deleter
1706633557,2,website-deleter
1706633572,2,website-deleter
1706633587,2,website-deleter
1706633602,2,website-deleter
1706633617,2,website-deleter
1706633632,1.98,website-deleter
1706633647,2,website-deleter
1706633662,1.98,website-deleter
1706633677,2,website-deleter
1706633692,2,website-deleter
1706633707,1.98,website-deleter
1706633722,1.98,website-deleter
1706633737,1.98,website-deleter
1706633752,2,website-deleter
1706633767,2,website-deleter
1706633782,2,website-deleter
1706633797,2,website-deleter
1706633812,2,website-deleter
1706633827,2,website-deleter
1706633842,2,website-deleter
1706633857,2,website-deleter
1706633872,2,website-deleter
1706633887,2,website-deleter
1706633902,2,website-deleter
1706633917,2,website-deleter
1706633932,2,website-deleter
1706633947,2,website-deleter
1706633962,2,website-deleter
1706633977,2,website-deleter
1706633992,2,website-deleter
1706634007,2,website-deleter
1706634022,2,website-deleter
1706634037,2,website-deleter
1706634052,2,website-deleter
1706634067,2,website-deleter
1706634082,2,website-deleter
1706634097,2,website-deleter
1706634112,2,website-deleter
1706634127,2,website-deleter
1706634142,2,website-deleter
1706634157,2,website-deleter
1706634172,2,website-deleter
1706634187,2,website-deleter
1706634202,2,website-deleter
1706634217,2,website-deleter
1706634232,2,website-deleter
1706634247,2,website-deleter
1706634262,2,website-deleter
1706634277,2,website-deleter
1706634292,2,website-deleter
1706634307,2,website-deleter
1706634322,2,website-deleter
1706634337,2,website-deleter
1706634352,2,website-deleter
1706633482,6.138333333333333,website-generator
1706633497,9.138333333333332,website-generator
1706633512,12,website-generator
1706633527,12,website-generator
1706633542,11.997840388730028,website-generator
1706633557,12,website-generator
1706633572,12,website-generator
1706633587,12,website-generator
1706633602,12,website-generator
1706633617,12,website-generator
1706633632,12,website-generator
1706633647,12,website-generator
1706633662,12,website-generator
1706633677,12,website-generator
1706633692,12,website-generator
1706633707,12,website-generator
1706633722,12,website-generator
1706633737,12,website-generator
1706633752,12,website-generator
1706633767,12,website-generator
1706633782,12,website-generator
1706633797,12,website-generator
1706633812,12,website-generator
1706633827,12,website-generator
1706633842,12,website-generator
1706633857,12,website-generator
1706633872,12,website-generator
1706633887,12,website-generator
1706633902,12,website-generator
1706633917,12,website-generator
1706633932,12,website-generator
1706633947,12,website-generator
1706633962,12,website-generator
1706633977,12,website-generator
1706633992,12,website-generator
1706634007,12,website-generator
1706634022,12,website-generator
1706634037,12,website-generator
1706634052,12,website-generator
1706634067,12,website-generator
1706634082,12,website-generator
1706634097,12,website-generator
1706634112,12,website-generator
1706634127,12,website-generator
1706634142,12,website-generator
1706634157,12,website-generator
1706634172,12,website-generator
1706634187,12,website-generator
1706634202,12,website-generator
1706634217,12,website-generator
1706634232,12,website-generator
1706634247,12,website-generator
1706634262,12,website-generator
1706634277,12,website-generator
1706634292,12,website-generator
1706634307,12,website-generator
1706634322,12,website-generator
1706634337,12,website-generator
1706634352,12,website-generator
1706633482,0,website-mutator
1706633497,0,website-mutator
1706633512,0,website-mutator
1706633527,1.6261083333333333,website-mutator
1706633542,5.78873302805495,website-mutator
1706633557,8.679108333333334,website-mutator
1706633572,11.82475,website-mutator
1706633587,12.96,website-mutator
1706633602,16.5,website-mutator
1706633617,18.3,website-mutator
1706633632,21.400000000000002,website-mutator
1706633647,22.66,website-mutator
1706633662,26.68,website-mutator
1706633677,28.3,website-mutator
1706633692,31.44,website-mutator
1706633707,32.62,website-mutator
1706633722,36.84,website-mutator
1706633737,38.36,website-mutator
1706633752,41.42,website-mutator
1706633767,42.519999999999996,website-mutator
1706633782,46.84,website-mutator
1706633797,48.42,website-mutator
1706633812,51.300000000000004,website-mutator
1706633827,52.4,website-mutator
1706633842,56.78,website-mutator
1706633857,58.24,website-mutator
1706633872,61.199999999999996,website-mutator
1706633887,62.22,website-mutator
1706633902,66.76,website-mutator
1706633917,68.17999999999999,website-mutator
1706633932,71.26,website-mutator
1706633947,72.14,website-mutator
1706633962,76.78,website-mutator
1706633977,78.3,website-mutator
1706633992,81.36,website-mutator
1706634007,82.16,website-mutator
1706634022,86.84,website-mutator
1706634037,88.52,website-mutator
1706634052,91.32,website-mutator
1706634067,92.02,website-mutator
1706634082,96.72,website-mutator
1706634097,98.42,website-mutator
1706634112,101.5,website-mutator
1706634127,102.02000000000001,website-mutator
1706634142,106.58,website-mutator
1706634157,108.36,website-mutator
1706634172,111.54,website-mutator
1706634187,112.1,website-mutator
1706634202,116.39999999999999,website-mutator
1706634217,118.34,website-mutator
1706634232,121.42,website-mutator
1706634247,122.2,website-mutator
1706634262,126.38000000000001,website-mutator
1706634277,128.32000000000002,website-mutator
1706634292,131.54,website-mutator
1706634307,132.16,website-mutator
1706634322,136.32,website-mutator
1706634337,138.20000000000002,website-mutator
1706634352,141.46,website-mutator
