ts,value
1707158159,73
1707158174,271
1707158189,373
1707158204,568
1707158219,673
1707158234,874
1707158249,973
1707158264,1176
1707158279,1274
1707158294,1473
1707158309,1575
1707158324,1780
1707158339,1868
1707158354,2076
1707158369,2176
1707158384,2375
1707158399,2475
1707158414,2675
1707158429,2774
1707158444,2973
1707158459,3077
1707158474,3277
1707158489,3373
1707158504,3574
1707158519,3676
1707158534,3875
1707158549,3973
1707158564,4169
1707158579,4274
1707158594,4474
1707158609,4573
1707158624,4775
1707158639,4878
1707158654,5078
1707158669,5173
1707158684,5371
1707158699,5471
1707158714,5672
1707158729,5772
1707158744,5974
1707158759,6074
1707158774,6273
1707158789,6375
1707158804,6574
1707158819,6676
1707158834,6877
1707158849,6974
1707158864,7175
1707158879,7279
1707158894,7481
1707158909,7574
1707158924,7773
1707158939,7874
1707158954,8077
1707158969,8171
1707158984,8378
1707158999,8478
1707159014,8676
1707159029,8777
1707159044,8973
