ts,value,namespace,pod
1707158144,14875352,sharding-system,sharder-b9c66b777-h469j
1707158159,14924232,sharding-system,sharder-b9c66b777-h469j
1707158174,14893840,sharding-system,sharder-b9c66b777-h469j
1707158189,14919088,sharding-system,sharder-b9c66b777-h469j
1707158204,14990720,sharding-system,sharder-b9c66b777-h469j
1707158219,14987368,sharding-system,sharder-b9c66b777-h469j
1707158234,14939976,sharding-system,sharder-b9c66b777-h469j
1707158249,17431032,sharding-system,sharder-b9c66b777-h469j
1707158264,18132000,sharding-system,sharder-b9c66b777-h469j
1707158279,15004728,sharding-system,sharder-b9c66b777-h469j
1707158294,14996216,sharding-system,sharder-b9c66b777-h469j
1707158309,14008368,sharding-system,sharder-b9c66b777-h469j
1707158324,17372728,sharding-system,sharder-b9c66b777-h469j
1707158339,17457384,sharding-system,sharder-b9c66b777-h469j
1707158354,16188784,sharding-system,sharder-b9c66b777-h469j
1707158369,17426536,sharding-system,sharder-b9c66b777-h469j
1707158384,17432952,sharding-system,sharder-b9c66b777-h469j
1707158399,16179304,sharding-system,sharder-b9c66b777-h469j
1707158414,15115944,sharding-system,sharder-b9c66b777-h469j
1707158429,16555064,sharding-system,sharder-b9c66b777-h469j
1707158444,15296368,sharding-system,sharder-b9c66b777-h469j
1707158459,15299352,sharding-system,sharder-b9c66b777-h469j
1707158474,15300296,sharding-system,sharder-b9c66b777-h469j
1707158489,16482984,sharding-system,sharder-b9c66b777-h469j
1707158504,17763400,sharding-system,sharder-b9c66b777-h469j
1707158519,16490040,sharding-system,sharder-b9c66b777-h469j
1707158534,16496136,sharding-system,sharder-b9c66b777-h469j
1707158549,16529712,sharding-system,sharder-b9c66b777-h469j
1707158564,16508440,sharding-system,sharder-b9c66b777-h469j
1707158579,16504048,sharding-system,sharder-b9c66b777-h469j
1707158594,16644920,sharding-system,sharder-b9c66b777-h469j
1707158609,15337744,sharding-system,sharder-b9c66b777-h469j
1707158624,16624952,sharding-system,sharder-b9c66b777-h469j
1707158639,15316008,sharding-system,sharder-b9c66b777-h469j
1707158654,16514976,sharding-system,sharder-b9c66b777-h469j
1707158669,16528984,sharding-system,sharder-b9c66b777-h469j
1707158684,16564416,sharding-system,sharder-b9c66b777-h469j
1707158699,15379560,sharding-system,sharder-b9c66b777-h469j
1707158714,15379040,sharding-system,sharder-b9c66b777-h469j
1707158729,15339736,sharding-system,sharder-b9c66b777-h469j
1707158744,16570488,sharding-system,sharder-b9c66b777-h469j
1707158759,15342168,sharding-system,sharder-b9c66b777-h469j
1707158774,15346200,sharding-system,sharder-b9c66b777-h469j
1707158789,15404856,sharding-system,sharder-b9c66b777-h469j
1707158804,16591752,sharding-system,sharder-b9c66b777-h469j
1707158819,15396736,sharding-system,sharder-b9c66b777-h469j
1707158834,15362744,sharding-system,sharder-b9c66b777-h469j
1707158849,15354568,sharding-system,sharder-b9c66b777-h469j
1707158864,14055288,sharding-system,sharder-b9c66b777-h469j
1707158879,16667712,sharding-system,sharder-b9c66b777-h469j
1707158894,16664504,sharding-system,sharder-b9c66b777-h469j
1707158909,13757784,sharding-system,sharder-b9c66b777-h469j
1707158924,13772952,sharding-system,sharder-b9c66b777-h469j
1707158939,16681904,sharding-system,sharder-b9c66b777-h469j
1707158954,15603760,sharding-system,sharder-b9c66b777-h469j
1707158969,17950408,sharding-system,sharder-b9c66b777-h469j
1707158984,16695296,sharding-system,sharder-b9c66b777-h469j
1707158999,16682176,sharding-system,sharder-b9c66b777-h469j
1707159014,18005792,sharding-system,sharder-b9c66b777-h469j
1707159029,15498456,sharding-system,sharder-b9c66b777-h469j
1707159044,14359248,sharding-system,sharder-b9c66b777-h469j
1707158144,17765544,sharding-system,sharder-b9c66b777-vnfmz
1707158159,17825056,sharding-system,sharder-b9c66b777-vnfmz
