ts,value,namespace,pod
1707158144,4648.815765,sharding-system,sharder-7755f98ff4-xr5md
1707158144,5579.428733333332,sharding-system,sharder-b9c66b777-h469j
1707158159,4262.74,sharding-system,sharder-b9c66b777-h469j
1707158174,5409.72,sharding-system,sharder-b9c66b777-h469j
1707158189,4192.64,sharding-system,sharder-b9c66b777-h469j
1707158204,5694.34,sharding-system,sharder-b9c66b777-h469j
1707158219,4865.4400000000005,sharding-system,sharder-b9c66b777-h469j
1707158234,3764.78,sharding-system,sharder-b9c66b777-h469j
1707158249,5177.4800000000005,sharding-system,sharder-b9c66b777-h469j
1707158264,5155.74,sharding-system,sharder-b9c66b777-h469j
1707158279,5828.4400000000005,sharding-system,sharder-b9c66b777-h469j
1707158294,4119.4,sharding-system,sharder-b9c66b777-h469j
1707158309,4533.22,sharding-system,sharder-b9c66b777-h469j
1707158324,4533.22,sharding-system,sharder-b9c66b777-h469j
1707158339,5422.56,sharding-system,sharder-b9c66b777-h469j
1707158354,4947.96,sharding-system,sharder-b9c66b777-h469j
1707158369,5661.78,sharding-system,sharder-b9c66b777-h469j
1707158384,5365.66,sharding-system,sharder-b9c66b777-h469j
1707158399,4997.24,sharding-system,sharder-b9c66b777-h469j
1707158414,4997.24,sharding-system,sharder-b9c66b777-h469j
1707158429,4796.46,sharding-system,sharder-b9c66b777-h469j
1707158444,5913.64,sharding-system,sharder-b9c66b777-h469j
1707158459,4961.74,sharding-system,sharder-b9c66b777-h469j
1707158474,5029.3,sharding-system,sharder-b9c66b777-h469j
1707158489,4971.84,sharding-system,sharder-b9c66b777-h469j
1707158504,3947.88,sharding-system,sharder-b9c66b777-h469j
1707158519,3859.38,sharding-system,sharder-b9c66b777-h469j
1707158534,4829.04,sharding-system,sharder-b9c66b777-h469j
1707158549,5421.02,sharding-system,sharder-b9c66b777-h469j
1707158564,4710.88,sharding-system,sharder-b9c66b777-h469j
1707158579,5172.4400000000005,sharding-system,sharder-b9c66b777-h469j
1707158594,5172.4400000000005,sharding-system,sharder-b9c66b777-h469j
1707158609,5351.849630073985,sharding-system,sharder-b9c66b777-h469j
1707158624,4183.5,sharding-system,sharder-b9c66b777-h469j
1707158639,5817.761868575771,sharding-system,sharder-b9c66b777-h469j
1707158654,3985.28,sharding-system,sharder-b9c66b777-h469j
1707158669,5819.52,sharding-system,sharder-b9c66b777-h469j
1707158684,5226.42,sharding-system,sharder-b9c66b777-h469j
1707158699,5396.400000000001,sharding-system,sharder-b9c66b777-h469j
1707158714,5040.3,sharding-system,sharder-b9c66b777-h469j
1707158729,3871.62,sharding-system,sharder-b9c66b777-h469j
1707158744,5693.62,sharding-system,sharder-b9c66b777-h469j
1707158759,4863.58,sharding-system,sharder-b9c66b777-h469j
1707158774,4702.96,sharding-system,sharder-b9c66b777-h469j
1707158789,4199.9,sharding-system,sharder-b9c66b777-h469j
1707158804,5529.26,sharding-system,sharder-b9c66b777-h469j
1707158819,4357.96,sharding-system,sharder-b9c66b777-h469j
1707158834,4864.54,sharding-system,sharder-b9c66b777-h469j
1707158849,5216.46,sharding-system,sharder-b9c66b777-h469j
1707158864,3506.8,sharding-system,sharder-b9c66b777-h469j
1707158879,4470.06,sharding-system,sharder-b9c66b777-h469j
1707158894,5484.9800000000005,sharding-system,sharder-b9c66b777-h469j
1707158909,5470.78,sharding-system,sharder-b9c66b777-h469j
1707158924,5236.86,sharding-system,sharder-b9c66b777-h469j
1707158939,4139.64,sharding-system,sharder-b9c66b777-h469j
1707158954,5437.32,sharding-system,sharder-b9c66b777-h469j
1707158969,4148.66,sharding-system,sharder-b9c66b777-h469j
1707158984,4520.64,sharding-system,sharder-b9c66b777-h469j
1707158999,5219.62,sharding-system,sharder-b9c66b777-h469j
1707159014,3509.08,sharding-system,sharder-b9c66b777-h469j
1707159029,5303.62,sharding-system,sharder-b9c66b777-h469j
1707159044,6533.06,sharding-system,sharder-b9c66b777-h469j
1707158144,8031.308322916667,sharding-system,sharder-b9c66b777-vnfmz
1707158159,10523.4,sharding-system,sharder-b9c66b777-vnfmz
1707158174,10523.4,sharding-system,sharder-b9c66b777-vnfmz
1707158189,11378.12,sharding-system,sharder-b9c66b777-vnfmz
1707158204,10270.48,sharding-system,sharder-b9c66b777-vnfmz
1707158219,10684.86,sharding-system,sharder-b9c66b777-vnfmz
1707158234,11778.84,sharding-system,sharder-b9c66b777-vnfmz
1707158249,10807.68,sharding-system,sharder-b9c66b777-vnfmz
1707158264,11180.04,sharding-system,sharder-b9c66b777-vnfmz
1707158279,10491.1,sharding-system,sharder-b9c66b777-vnfmz
1707158294,10491.1,sharding-system,sharder-b9c66b777-vnfmz
1707158309,10676.48,sharding-system,sharder-b9c66b777-vnfmz
1707158324,10676.48,sharding-system,sharder-b9c66b777-vnfmz
1707158339,11022.42,sharding-system,sharder-b9c66b777-vnfmz
1707158354,10751.06,sharding-system,sharder-b9c66b777-vnfmz
1707158369,12028.16,sharding-system,sharder-b9c66b777-vnfmz
1707158384,8593.82,sharding-system,sharder-b9c66b777-vnfmz
1707158399,8841.7,sharding-system,sharder-b9c66b777-vnfmz
1707158414,10751.08,sharding-system,sharder-b9c66b777-vnfmz
1707158429,13894.18,sharding-system,sharder-b9c66b777-vnfmz
1707158444,10323.54,sharding-system,sharder-b9c66b777-vnfmz
1707158459,12103.84,sharding-system,sharder-b9c66b777-vnfmz
1707158474,8741.18,sharding-system,sharder-b9c66b777-vnfmz
1707158489,12682.66,sharding-system,sharder-b9c66b777-vnfmz
1707158504,10953.300000000001,sharding-system,sharder-b9c66b777-vnfmz
1707158519,11908.26,sharding-system,sharder-b9c66b777-vnfmz
1707158534,7732.360000000001,sharding-system,sharder-b9c66b777-vnfmz
1707158549,10255.58,sharding-system,sharder-b9c66b777-vnfmz
1707158564,10255.58,sharding-system,sharder-b9c66b777-vnfmz
1707158579,12984,sharding-system,sharder-b9c66b777-vnfmz
1707158594,8544.8,sharding-system,sharder-b9c66b777-vnfmz
1707158609,10181.743651269746,sharding-system,sharder-b9c66b777-vnfmz
1707158624,10799.94,sharding-system,sharder-b9c66b777-vnfmz
1707158639,11964.624245090588,sharding-system,sharder-b9c66b777-vnfmz
1707158654,11112.56,sharding-system,sharder-b9c66b777-vnfmz
1707158669,12377.12,sharding-system,sharder-b9c66b777-vnfmz
1707158684,8761.82,sharding-system,sharder-b9c66b777-vnfmz
1707158699,12273.76,sharding-system,sharder-b9c66b777-vnfmz
1707158714,9022.52,sharding-system,sharder-b9c66b777-vnfmz
1707158729,10579.9,sharding-system,sharder-b9c66b777-vnfmz
1707158744,10106.2,sharding-system,sharder-b9c66b777-vnfmz
1707158759,12797.6,sharding-system,sharder-b9c66b777-vnfmz
1707158774,11677.26,sharding-system,sharder-b9c66b777-vnfmz
1707158789,12159.16,sharding-system,sharder-b9c66b777-vnfmz
1707158804,12020.880000000001,sharding-system,sharder-b9c66b777-vnfmz
1707158819,9065.48,sharding-system,sharder-b9c66b777-vnfmz
1707158834,11859.56,sharding-system,sharder-b9c66b777-vnfmz
1707158849,9127.5,sharding-system,sharder-b9c66b777-vnfmz
1707158864,12196,sharding-system,sharder-b9c66b777-vnfmz
1707158879,8929.800000000001,sharding-system,sharder-b9c66b777-vnfmz
1707158894,9891.34,sharding-system,sharder-b9c66b777-vnfmz
1707158909,9787.32,sharding-system,sharder-b9c66b777-vnfmz
1707158924,10259.18,sharding-system,sharder-b9c66b777-vnfmz
1707158939,10125.1,sharding-system,sharder-b9c66b777-vnfmz
1707158954,10076.62,sharding-system,sharder-b9c66b777-vnfmz
1707158969,10211.1,sharding-system,sharder-b9c66b777-vnfmz
1707158984,13471.6,sharding-system,sharder-b9c66b777-vnfmz
1707158999,9259.52,sharding-system,sharder-b9c66b777-vnfmz
1707159014,12978.16,sharding-system,sharder-b9c66b777-vnfmz
1707159029,9627.36,sharding-system,sharder-b9c66b777-vnfmz
1707159044,9030.52,sharding-system,sharder-b9c66b777-vnfmz
1707158144,12627.570101666668,webhosting-system,webhosting-operator-75fd7f6d5b-gd6p2
1707158159,98890.36068416668,webhosting-system,webhosting-operator-75fd7f6d5b-gd6p2
1707158174,229440.87355633333,webhosting-system,webhosting-operator-75fd7f6d5b-gd6p2
1707158189,250299.925223,webhosting-system,webhosting-operator-75fd7f6d5b-gd6p2
1707158204,494924.86,webhosting-system,webhosting-operator-75fd7f6d5b-gd6p2
1707158219,494924.86,webhosting-system,webhosting-operator-75fd7f6d5b-gd6p2
1707158234,745603.8,webhosting-system,webhosting-operator-75fd7f6d5b-gd6p2
1707158249,544807.72,webhosting-system,webhosting-operator-75fd7f6d5b-gd6p2
1707158264,970393.24,webhosting-system,webhosting-operator-75fd7f6d5b-gd6p2
1707158279,936610.24,webhosting-system,webhosting-operator-75fd7f6d5b-gd6p2
1707158294,1060930.86,webhosting-system,webhosting-operator-75fd7f6d5b-gd6p2
1707158309,790539.98,webhosting-system,webhosting-operator-75fd7f6d5b-gd6p2
1707158324,990391.46,webhosting-system,webhosting-operator-75fd7f6d5b-gd6p2
1707158339,990391.46,webhosting-system,webhosting-operator-75fd7f6d5b-gd6p2
1707158354,1629997.3,webhosting-system,webhosting-operator-75fd7f6d5b-gd6p2
1707158369,1252490.56,webhosting-system,webhosting-operator-75fd7f6d5b-gd6p2
1707158384,1475622.74,webhosting-system,webhosting-operator-75fd7f6d5b-gd6p2
1707158399,1525590.08,webhosting-system,webhosting-operator-75fd7f6d5b-gd6p2
1707158414,1812240.96,webhosting-system,webhosting-operator-75fd7f6d5b-gd6p2
1707158429,1272816.12,webhosting-system,webhosting-operator-75fd7f6d5b-gd6p2
1707158444,1316092.74,webhosting-system,webhosting-operator-75fd7f6d5b-gd6p2
1707158459,1580751.3,webhosting-system,webhosting-operator-75fd7f6d5b-gd6p2
1707158474,1688996.22,webhosting-system,webhosting-operator-75fd7f6d5b-gd6p2
1707158489,1872632.28,webhosting-system,webhosting-operator-75fd7f6d5b-gd6p2
1707158504,1928717.2,webhosting-system,webhosting-operator-75fd7f6d5b-gd6p2
1707158519,2039263.06,webhosting-system,webhosting-operator-75fd7f6d5b-gd6p2
1707158534,1971409.24,webhosting-system,webhosting-operator-75fd7f6d5b-gd6p2
1707158549,2475394.24,webhosting-system,webhosting-operator-75fd7f6d5b-gd6p2
1707158564,1982484.8,webhosting-system,webhosting-operator-75fd7f6d5b-gd6p2
1707158579,1982484.8,webhosting-system,webhosting-operator-75fd7f6d5b-gd6p2
1707158594,2325950.58,webhosting-system,webhosting-operator-75fd7f6d5b-gd6p2
1707158609,2325950.58,webhosting-system,webhosting-operator-75fd7f6d5b-gd6p2
1707158624,3071846.88,webhosting-system,webhosting-operator-75fd7f6d5b-gd6p2
1707158639,2817638.54,webhosting-system,webhosting-operator-75fd7f6d5b-gd6p2
1707158654,3001454.4,webhosting-system,webhosting-operator-75fd7f6d5b-gd6p2
1707158669,2925773.7600000002,webhosting-system,webhosting-operator-75fd7f6d5b-gd6p2
1707158684,2909300.14,webhosting-system,webhosting-operator-75fd7f6d5b-gd6p2
1707158699,2909300.14,webhosting-system,webhosting-operator-75fd7f6d5b-gd6p2
1707158714,3211789.4,webhosting-system,webhosting-operator-75fd7f6d5b-gd6p2
1707158729,2508619.4,webhosting-system,webhosting-operator-75fd7f6d5b-gd6p2
1707158744,2819664.88,webhosting-system,webhosting-operator-75fd7f6d5b-gd6p2
1707158759,3181424.08,webhosting-system,webhosting-operator-75fd7f6d5b-gd6p2
1707158774,3239701.16,webhosting-system,webhosting-operator-75fd7f6d5b-gd6p2
1707158789,3108056.46,webhosting-system,webhosting-operator-75fd7f6d5b-gd6p2
1707158804,2779669.46,webhosting-system,webhosting-operator-75fd7f6d5b-gd6p2
1707158819,3897563.88,webhosting-system,webhosting-operator-75fd7f6d5b-gd6p2
1707158834,3605550.18,webhosting-system,webhosting-operator-75fd7f6d5b-gd6p2
1707158849,3844434.52,webhosting-system,webhosting-operator-75fd7f6d5b-gd6p2
1707158864,3550217.42,webhosting-system,webhosting-operator-75fd7f6d5b-gd6p2
1707158879,3893658.7600000002,webhosting-system,webhosting-operator-75fd7f6d5b-gd6p2
1707158894,3333141.68,webhosting-system,webhosting-operator-75fd7f6d5b-gd6p2
1707158909,3478636.66,webhosting-system,webhosting-operator-75fd7f6d5b-gd6p2
1707158924,3596354.54,webhosting-system,webhosting-operator-75fd7f6d5b-gd6p2
1707158939,3596354.54,webhosting-system,webhosting-operator-75fd7f6d5b-gd6p2
1707158954,4213988.66,webhosting-system,webhosting-operator-75fd7f6d5b-gd6p2
1707158969,4213988.66,webhosting-system,webhosting-operator-75fd7f6d5b-gd6p2
1707158984,4130887.3400000003,webhosting-system,webhosting-operator-75fd7f6d5b-gd6p2
1707158999,4348813.48,webhosting-system,webhosting-operator-75fd7f6d5b-gd6p2
1707159014,5196970.04,webhosting-system,webhosting-operator-75fd7f6d5b-gd6p2
1707159029,3916206,webhosting-system,webhosting-operator-75fd7f6d5b-gd6p2
1707159044,4758679.08,webhosting-system,webhosting-operator-75fd7f6d5b-gd6p2
1707158144,8410.148481666667,webhosting-system,webhosting-operator-75fd7f6d5b-kgjvm
1707158159,6420.54,webhosting-system,webhosting-operator-75fd7f6d5b-kgjvm
1707158174,83348.28838533333,webhosting-system,webhosting-operator-75fd7f6d5b-kgjvm
1707158189,187778.22,webhosting-system,webhosting-operator-75fd7f6d5b-kgjvm
1707158204,272945.0746056667,webhosting-system,webhosting-operator-75fd7f6d5b-kgjvm
1707158219,340959.26,webhosting-system,webhosting-operator-75fd7f6d5b-kgjvm
1707158234,400937.98,webhosting-system,webhosting-operator-75fd7f6d5b-kgjvm
1707158249,400937.98,webhosting-system,webhosting-operator-75fd7f6d5b-kgjvm
1707158264,482342.44,webhosting-system,webhosting-operator-75fd7f6d5b-kgjvm
