ts,value,namespace,pod
1707158144,13115.742365,sharding-system,sharder-7755f98ff4-xr5md
1707158144,8493.757566666667,sharding-system,sharder-b9c66b777-h469j
1707158159,8338.72,sharding-system,sharder-b9c66b777-h469j
1707158174,10706.5,sharding-system,sharder-b9c66b777-h469j
1707158189,8493.64,sharding-system,sharder-b9c66b777-h469j
1707158204,11708.98,sharding-system,sharder-b9c66b777-h469j
1707158219,10216.34,sharding-system,sharder-b9c66b777-h469j
1707158234,7906.62,sharding-system,sharder-b9c66b777-h469j
1707158249,10910.36,sharding-system,sharder-b9c66b777-h469j
1707158264,11106.18,sharding-system,sharder-b9c66b777-h469j
1707158279,12936.78,sharding-system,sharder-b9c66b777-h469j
1707158294,9141.460000000001,sharding-system,sharder-b9c66b777-h469j
1707158309,10287.06,sharding-system,sharder-b9c66b777-h469j
1707158324,10287.06,sharding-system,sharder-b9c66b777-h469j
1707158339,12512.14,sharding-system,sharder-b9c66b777-h469j
1707158354,11612.5,sharding-system,sharder-b9c66b777-h469j
1707158369,13418.32,sharding-system,sharder-b9c66b777-h469j
1707158384,12531.800000000001,sharding-system,sharder-b9c66b777-h469j
1707158399,11569.34,sharding-system,sharder-b9c66b777-h469j
1707158414,11569.34,sharding-system,sharder-b9c66b777-h469j
1707158429,11431.26,sharding-system,sharder-b9c66b777-h469j
1707158444,13967.880000000001,sharding-system,sharder-b9c66b777-h469j
1707158459,12137.58,sharding-system,sharder-b9c66b777-h469j
1707158474,12058.54,sharding-system,sharder-b9c66b777-h469j
1707158489,12270.800000000001,sharding-system,sharder-b9c66b777-h469j
1707158504,9637.1,sharding-system,sharder-b9c66b777-h469j
1707158519,9659.28,sharding-system,sharder-b9c66b777-h469j
1707158534,11854.380000000001,sharding-system,sharder-b9c66b777-h469j
1707158549,13620.460000000001,sharding-system,sharder-b9c66b777-h469j
1707158564,11893.94,sharding-system,sharder-b9c66b777-h469j
1707158579,13099.720000000001,sharding-system,sharder-b9c66b777-h469j
1707158594,13099.720000000001,sharding-system,sharder-b9c66b777-h469j
1707158609,13737.352529494101,sharding-system,sharder-b9c66b777-h469j
1707158624,10781.68,sharding-system,sharder-b9c66b777-h469j
1707158639,15278.606567211935,sharding-system,sharder-b9c66b777-h469j
1707158654,10505.56,sharding-system,sharder-b9c66b777-h469j
1707158669,15348.380000000001,sharding-system,sharder-b9c66b777-h469j
1707158684,13668.52,sharding-system,sharder-b9c66b777-h469j
1707158699,14362.78,sharding-system,sharder-b9c66b777-h469j
1707158714,13397.1,sharding-system,sharder-b9c66b777-h469j
1707158729,10353.5,sharding-system,sharder-b9c66b777-h469j
1707158744,15444.12,sharding-system,sharder-b9c66b777-h469j
1707158759,13692.78,sharding-system,sharder-b9c66b777-h469j
1707158774,13384.36,sharding-system,sharder-b9c66b777-h469j
1707158789,12058.92,sharding-system,sharder-b9c66b777-h469j
1707158804,16057.68,sharding-system,sharder-b9c66b777-h469j
1707158819,12826.98,sharding-system,sharder-b9c66b777-h469j
1707158834,14158.9,sharding-system,sharder-b9c66b777-h469j
1707158849,15267.34,sharding-system,sharder-b9c66b777-h469j
1707158864,10204.300000000001,sharding-system,sharder-b9c66b777-h469j
1707158879,13224.52,sharding-system,sharder-b9c66b777-h469j
1707158894,16084.54,sharding-system,sharder-b9c66b777-h469j
1707158909,16114.12,sharding-system,sharder-b9c66b777-h469j
1707158924,15522.86,sharding-system,sharder-b9c66b777-h469j
1707158939,12374.5,sharding-system,sharder-b9c66b777-h469j
1707158954,16505.24,sharding-system,sharder-b9c66b777-h469j
1707158969,12525.78,sharding-system,sharder-b9c66b777-h469j
1707158984,14084.14,sharding-system,sharder-b9c66b777-h469j
1707158999,15830.84,sharding-system,sharder-b9c66b777-h469j
1707159014,10623.58,sharding-system,sharder-b9c66b777-h469j
1707159029,16013.140000000001,sharding-system,sharder-b9c66b777-h469j
1707159044,19724.88,sharding-system,sharder-b9c66b777-h469j
1707158144,9000.712270833332,sharding-system,sharder-b9c66b777-vnfmz
1707158159,14585.36,sharding-system,sharder-b9c66b777-vnfmz
1707158174,14585.36,sharding-system,sharder-b9c66b777-vnfmz
1707158189,16676.12,sharding-system,sharder-b9c66b777-vnfmz
1707158204,15550.06,sharding-system,sharder-b9c66b777-vnfmz
1707158219,17000.920000000002,sharding-system,sharder-b9c66b777-vnfmz
1707158234,18961.68,sharding-system,sharder-b9c66b777-vnfmz
1707158249,17722.72,sharding-system,sharder-b9c66b777-vnfmz
1707158264,18162.74,sharding-system,sharder-b9c66b777-vnfmz
1707158279,18026.64,sharding-system,sharder-b9c66b777-vnfmz
1707158294,18026.64,sharding-system,sharder-b9c66b777-vnfmz
1707158309,18840.760000000002,sharding-system,sharder-b9c66b777-vnfmz
1707158324,18840.760000000002,sharding-system,sharder-b9c66b777-vnfmz
1707158339,19424.18,sharding-system,sharder-b9c66b777-vnfmz
1707158354,19614.8,sharding-system,sharder-b9c66b777-vnfmz
1707158369,22391.38,sharding-system,sharder-b9c66b777-vnfmz
1707158384,16035.34,sharding-system,sharder-b9c66b777-vnfmz
1707158399,16257.52,sharding-system,sharder-b9c66b777-vnfmz
1707158414,19947.18,sharding-system,sharder-b9c66b777-vnfmz
1707158429,26429.600000000002,sharding-system,sharder-b9c66b777-vnfmz
1707158444,19983.5,sharding-system,sharder-b9c66b777-vnfmz
1707158459,23257.34,sharding-system,sharder-b9c66b777-vnfmz
1707158474,16673.4,sharding-system,sharder-b9c66b777-vnfmz
1707158489,24483.02,sharding-system,sharder-b9c66b777-vnfmz
1707158504,21182.22,sharding-system,sharder-b9c66b777-vnfmz
1707158519,23639.8,sharding-system,sharder-b9c66b777-vnfmz
1707158534,15175.34,sharding-system,sharder-b9c66b777-vnfmz
1707158549,20697.06,sharding-system,sharder-b9c66b777-vnfmz
1707158564,20697.06,sharding-system,sharder-b9c66b777-vnfmz
1707158579,26045.920000000002,sharding-system,sharder-b9c66b777-vnfmz
1707158594,17315.04,sharding-system,sharder-b9c66b777-vnfmz
1707158609,20201.459708058388,sharding-system,sharder-b9c66b777-vnfmz
1707158624,22044.72,sharding-system,sharder-b9c66b777-vnfmz
1707158639,24865.95608526977,sharding-system,sharder-b9c66b777-vnfmz
1707158654,23159.44,sharding-system,sharder-b9c66b777-vnfmz
