ts,value,resource,scope
1707160147,0.024609756097560966,verticalpodautoscalers,resource
1707160147,0.02448928648946022,nodes,resource
1707160147,0.024496296296296308,daemonsets,resource
1707160147,0.024180000219047308,pods,resource
1707160147,0.047666666666666684,horizontalpodautoscalers,resource
1707160147,0.023736551735032016,serviceaccounts,resource
1707160147,0.023882474180951463,ingresses,resource
1707160147,0.02423468593048193,deployments,resource
1707160147,0.02425384578789862,endpoints,resource
1707160147,0.023483116883116908,clusterroles,resource
1707160147,0.02286666666666668,networkpolicies,resource
1707160147,0.02795831757606455,secrets,resource
1707160147,0.023599998095238085,websites,resource
1707160147,0.023707692307692315,poddisruptionbudgets,resource
1707160147,0.03022414265718973,leases,resource
1707160147,0.023777599999999992,clusterrolebindings,resource
1707160147,0.024066666666666674,mutatingwebhookconfigurations,resource
1707160147,0.024526744476030093,replicasets,resource
1707160147,0.02408,persistentvolumeclaims,resource
1707160147,0.024329554313345516,endpointslices,resource
1707160147,0.00495,volumeattachments,resource
1707160147,0.023276923076923087,priorityclasses,resource
1707160147,0.024066666666666674,apiservices,resource
1707160147,0.022200000000000015,roles,resource
1707160147,0.020599999999999976,persistentvolumes,resource
1707160147,0.024154247586673807,configmaps,resource
1707160147,0.023023529411764714,rolebindings,resource
1707160147,0.023133333333333346,validatingwebhookconfigurations,resource
1707160147,0.02409858148890074,services,resource
1707160147,0.024733333333333357,storageclasses,resource
1707160147,0.04300000000000003,csidrivers,resource
1707160147,0.02411794871794873,customresourcedefinitions,resource
1707160147,0.024175000019841224,clusterinformations,resource
1707160147,0.03630554955908779,namespaces,resource
