ts,value,controller
1706636303,1.0306666666666666,website-deleter
1706636318,1.5306666666666666,website-deleter
1706636333,2,website-deleter
1706636348,2,website-deleter
1706636363,2,website-deleter
1706636378,2,website-deleter
1706636393,2,website-deleter
1706636408,2,website-deleter
1706636423,2,website-deleter
1706636438,2,website-deleter
1706636453,2,website-deleter
1706636468,2,website-deleter
1706636483,2,website-deleter
1706636498,2,website-deleter
1706636513,2,website-deleter
1706636528,2,website-deleter
1706636543,2,website-deleter
1706636558,2,website-deleter
1706636573,2,website-deleter
1706636588,2,website-deleter
1706636603,2,website-deleter
1706636618,2,website-deleter
1706636633,2,website-deleter
1706636648,2,website-deleter
1706636663,2,website-deleter
1706636678,2,website-deleter
1706636693,2,website-deleter
1706636708,2,website-deleter
1706636723,2,website-deleter
1706636738,2,website-deleter
1706636753,2,website-deleter
1706636768,2,website-deleter
1706636783,2,website-deleter
1706636798,2,website-deleter
1706636813,2,website-deleter
1706636828,2,website-deleter
1706636843,2,website-deleter
1706636858,2,website-deleter
1706636873,2,website-deleter
1706636888,2,website-deleter
1706636903,2,website-deleter
1706636918,2,website-deleter
1706636933,2,website-deleter
1706636948,2,website-deleter
1706636963,2,website-deleter
1706636978,2,website-deleter
1706636993,2,website-deleter
1706637008,2,website-deleter
1706637023,2,website-deleter
1706637038,2,website-deleter
1706637053,2,website-deleter
1706637068,2,website-deleter
1706637083,2,website-deleter
1706637098,2,website-deleter
1706637113,2,website-deleter
1706637128,2,website-deleter
1706637143,2,website-deleter
1706637158,2,website-deleter
1706637173,2,website-deleter
1706636303,6.134,website-generator
1706636318,9.134,website-generator
1706636333,12,website-generator
1706636348,12,website-generator
1706636363,12,website-generator
1706636378,12,website-generator
1706636393,12,website-generator
1706636408,12,website-generator
1706636423,12,website-generator
1706636438,12,website-generator
1706636453,12,website-generator
1706636468,12,website-generator
1706636483,12,website-generator
1706636498,12,website-generator
1706636513,12,website-generator
1706636528,12,website-generator
1706636543,12,website-generator
1706636558,12,website-generator
1706636573,12,website-generator
1706636588,12,website-generator
1706636603,12,website-generator
1706636618,12,website-generator
1706636633,12,website-generator
1706636648,12,website-generator
1706636663,12,website-generator
1706636678,12,website-generator
1706636693,12,website-generator
1706636708,12,website-generator
1706636723,12,website-generator
1706636738,12,website-generator
1706636753,12,website-generator
1706636768,12,website-generator
1706636783,12,website-generator
1706636798,12,website-generator
1706636813,12,website-generator
1706636828,12,website-generator
1706636843,12,website-generator
1706636858,12,website-generator
1706636873,12,website-generator
1706636888,12,website-generator
1706636903,12,website-generator
1706636918,12,website-generator
1706636933,12,website-generator
1706636948,12,website-generator
1706636963,12,website-generator
1706636978,12,website-generator
1706636993,12,website-generator
1706637008,11.98,website-generator
1706637023,12,website-generator
1706637038,12,website-generator
1706637053,12.02,website-generator
1706637068,12,website-generator
1706637083,12,website-generator
1706637098,12,website-generator
1706637113,12,website-generator
1706637128,12,website-generator
1706637143,12,website-generator
1706637158,12,website-generator
1706637173,12,website-generator
1706636303,0,website-mutator
1706636318,0,website-mutator
1706636333,0,website-mutator
1706636348,2.18088,website-mutator
1706636363,6.05948,website-mutator
1706636378,8.89128,website-mutator
1706636393,11.741146666666667,website-mutator
1706636408,13.440000000000001,website-mutator
1706636423,17.02,website-mutator
1706636438,18.88,website-mutator
1706636453,21.64,website-mutator
1706636468,23.32,website-mutator
1706636483,27.240000000000002,website-mutator
1706636498,28.84,website-mutator
1706636513,31.5,website-mutator
1706636528,33.1,website-mutator
1706636543,37.08,website-mutator
1706636558,38.8,website-mutator
1706636573,41.44,website-mutator
1706636588,43.1,website-mutator
1706636603,47.14,website-mutator
1706636618,48.84,website-mutator
1706636633,51.28,website-mutator
1706636648,53.04,website-mutator
1706636663,57.12,website-mutator
1706636678,58.7,website-mutator
1706636693,61.34,website-mutator
1706636708,63.14,website-mutator
1706636723,67.22,website-mutator
1706636738,68.67999999999999,website-mutator
1706636753,71.32,website-mutator
1706636768,72.92,website-mutator
1706636783,77.24,website-mutator
1706636798,78.64,website-mutator
1706636813,81.44000000000001,website-mutator
1706636828,82.94000000000001,website-mutator
1706636843,87.08,website-mutator
1706636858,88.58,website-mutator
1706636873,91.66,website-mutator
1706636888,93.18,website-mutator
1706636903,96.9,website-mutator
1706636918,98.48,website-mutator
1706636933,101.53999999999999,website-mutator
1706636948,103.2,website-mutator
1706636963,106.92,website-mutator
1706636978,108.39999999999999,website-mutator
1706636993,111.66,website-mutator
1706637008,113.18,website-mutator
1706637023,117.08,website-mutator
1706637038,118.46000000000001,website-mutator
1706637053,121.68,website-mutator
1706637068,123.02,website-mutator
1706637083,127,website-mutator
1706637098,128.12,website-mutator
1706637113,131.7,website-mutator
1706637128,133.07999999999998,website-mutator
1706637143,137.20000000000002,website-mutator
1706637158,138.2,website-mutator
1706637173,141.74,website-mutator
