ts,value
1706636288,92
1706636303,292
1706636318,392
1706636333,592
1706636348,692
1706636363,892
1706636378,993
1706636393,1192
1706636408,1293
1706636423,1492
1706636438,1592
1706636453,1792
1706636468,1892
1706636483,2092
1706636498,2192
1706636513,2393
1706636528,2492
1706636543,2693
1706636558,2792
1706636573,2992
1706636588,3092
1706636603,3292
1706636618,3392
1706636633,3592
1706636648,3693
1706636663,3893
1706636678,3993
1706636693,4192
1706636708,4292
1706636723,4493
1706636738,4592
1706636753,4792
1706636768,4892
1706636783,5092
1706636798,5192
1706636813,5392
1706636828,5492
1706636843,5692
1706636858,5793
1706636873,5993
1706636888,6092
1706636903,6293
1706636918,6392
1706636933,6592
1706636948,6693
1706636963,6892
1706636978,6992
1706636993,7193
1706637008,7293
1706637023,7492
1706637038,7592
1706637053,7792
1706637068,7893
1706637083,8092
1706637098,8192
1706637113,8392
1706637128,8492
1706637143,8692
1706637158,8793
1706637173,8993
