ts,value,namespace,pod
1707159247,15013296,sharding-system,sharder-7698587fc6-276wb
1707159262,16168480,sharding-system,sharder-7698587fc6-276wb
1707159277,16230752,sharding-system,sharder-7698587fc6-276wb
1707159292,15006488,sharding-system,sharder-7698587fc6-276wb
1707159307,15006456,sharding-system,sharder-7698587fc6-276wb
1707159322,14990648,sharding-system,sharder-7698587fc6-276wb
1707159337,15031640,sharding-system,sharder-7698587fc6-276wb
1707159352,16182496,sharding-system,sharder-7698587fc6-276wb
1707159367,18580560,sharding-system,sharder-7698587fc6-276wb
1707159382,14991624,sharding-system,sharder-7698587fc6-276wb
1707159397,16197560,sharding-system,sharder-7698587fc6-276wb
1707159412,15001256,sharding-system,sharder-7698587fc6-276wb
1707159427,14973496,sharding-system,sharder-7698587fc6-276wb
1707159442,13767936,sharding-system,sharder-7698587fc6-276wb
1707159457,13810304,sharding-system,sharder-7698587fc6-276wb
1707159472,13776320,sharding-system,sharder-7698587fc6-276wb
1707159487,13796736,sharding-system,sharder-7698587fc6-276wb
1707159502,18624832,sharding-system,sharder-7698587fc6-276wb
1707159517,17363224,sharding-system,sharder-7698587fc6-276wb
1707159532,15013264,sharding-system,sharder-7698587fc6-276wb
1707159547,13766960,sharding-system,sharder-7698587fc6-276wb
1707159562,17891384,sharding-system,sharder-7698587fc6-276wb
1707159577,16217536,sharding-system,sharder-7698587fc6-276wb
1707159592,17859424,sharding-system,sharder-7698587fc6-276wb
1707159607,16253512,sharding-system,sharder-7698587fc6-276wb
1707159622,17927880,sharding-system,sharder-7698587fc6-276wb
1707159637,17946544,sharding-system,sharder-7698587fc6-276wb
1707159652,13790512,sharding-system,sharder-7698587fc6-276wb
1707159667,13761872,sharding-system,sharder-7698587fc6-276wb
1707159682,13813160,sharding-system,sharder-7698587fc6-276wb
1707159697,13768136,sharding-system,sharder-7698587fc6-276wb
1707159712,15005680,sharding-system,sharder-7698587fc6-276wb
1707159727,13796904,sharding-system,sharder-7698587fc6-276wb
1707159742,15002704,sharding-system,sharder-7698587fc6-276wb
1707159757,14995144,sharding-system,sharder-7698587fc6-276wb
1707159772,15003120,sharding-system,sharder-7698587fc6-276wb
1707159787,13800080,sharding-system,sharder-7698587fc6-276wb
1707159802,18011328,sharding-system,sharder-7698587fc6-276wb
1707159817,16856968,sharding-system,sharder-7698587fc6-276wb
1707159832,16881816,sharding-system,sharder-7698587fc6-276wb
1707159847,15014304,sharding-system,sharder-7698587fc6-276wb
1707159862,16237640,sharding-system,sharder-7698587fc6-276wb
1707159877,16213240,sharding-system,sharder-7698587fc6-276wb
1707159892,16263064,sharding-system,sharder-7698587fc6-276wb
1707159907,15082112,sharding-system,sharder-7698587fc6-276wb
1707159922,18034576,sharding-system,sharder-7698587fc6-276wb
1707159937,15037512,sharding-system,sharder-7698587fc6-276wb
1707159952,18017984,sharding-system,sharder-7698587fc6-276wb
1707159967,18081280,sharding-system,sharder-7698587fc6-276wb
1707159982,16821936,sharding-system,sharder-7698587fc6-276wb
1707159997,16253040,sharding-system,sharder-7698587fc6-276wb
1707160012,15062984,sharding-system,sharder-7698587fc6-276wb
1707160027,16874520,sharding-system,sharder-7698587fc6-276wb
1707160042,15005448,sharding-system,sharder-7698587fc6-276wb
1707160057,15022024,sharding-system,sharder-7698587fc6-276wb
1707160072,16908520,sharding-system,sharder-7698587fc6-276wb
1707160087,16923656,sharding-system,sharder-7698587fc6-276wb
1707160102,18063520,sharding-system,sharder-7698587fc6-276wb
1707160117,16259208,sharding-system,sharder-7698587fc6-276wb
1707160132,15064024,sharding-system,sharder-7698587fc6-276wb
1707160147,15013656,sharding-system,sharder-7698587fc6-276wb
1707159247,19152416,sharding-system,sharder-7698587fc6-fkjls
1707159262,19427960,sharding-system,sharder-7698587fc6-fkjls
1707159277,14232024,sharding-system,sharder-7698587fc6-fkjls
1707159292,14235256,sharding-system,sharder-7698587fc6-fkjls
1707159307,19453456,sharding-system,sharder-7698587fc6-fkjls
1707159322,14211048,sharding-system,sharder-7698587fc6-fkjls
1707159337,19445528,sharding-system,sharder-7698587fc6-fkjls
1707159352,19444416,sharding-system,sharder-7698587fc6-fkjls
1707159367,14156824,sharding-system,sharder-7698587fc6-fkjls
1707159382,17821336,sharding-system,sharder-7698587fc6-fkjls
1707159397,17837368,sharding-system,sharder-7698587fc6-fkjls
1707159412,15390472,sharding-system,sharder-7698587fc6-fkjls
1707159427,17088280,sharding-system,sharder-7698587fc6-fkjls
1707159442,15425048,sharding-system,sharder-7698587fc6-fkjls
1707159457,15774224,sharding-system,sharder-7698587fc6-fkjls
1707159472,15772416,sharding-system,sharder-7698587fc6-fkjls
1707159487,18367504,sharding-system,sharder-7698587fc6-fkjls
1707159502,15777280,sharding-system,sharder-7698587fc6-fkjls
1707159517,18487472,sharding-system,sharder-7698587fc6-fkjls
1707159532,15388080,sharding-system,sharder-7698587fc6-fkjls
1707159547,17263936,sharding-system,sharder-7698587fc6-fkjls
1707159562,15486200,sharding-system,sharder-7698587fc6-fkjls
1707159577,15438288,sharding-system,sharder-7698587fc6-fkjls
1707159592,16037064,sharding-system,sharder-7698587fc6-fkjls
1707159607,16051000,sharding-system,sharder-7698587fc6-fkjls
1707159622,15781888,sharding-system,sharder-7698587fc6-fkjls
1707159637,15390896,sharding-system,sharder-7698587fc6-fkjls
1707159652,17291200,sharding-system,sharder-7698587fc6-fkjls
1707159667,16056480,sharding-system,sharder-7698587fc6-fkjls
1707159682,16067160,sharding-system,sharder-7698587fc6-fkjls
1707159697,16035288,sharding-system,sharder-7698587fc6-fkjls
1707159712,16938840,sharding-system,sharder-7698587fc6-fkjls
1707159727,15402936,sharding-system,sharder-7698587fc6-fkjls
1707159742,17339024,sharding-system,sharder-7698587fc6-fkjls
1707159757,18453384,sharding-system,sharder-7698587fc6-fkjls
1707159772,16642200,sharding-system,sharder-7698587fc6-fkjls
1707159787,16623704,sharding-system,sharder-7698587fc6-fkjls
1707159802,15436920,sharding-system,sharder-7698587fc6-fkjls
1707159817,15347840,sharding-system,sharder-7698587fc6-fkjls
1707159832,15417528,sharding-system,sharder-7698587fc6-fkjls
1707159847,18828288,sharding-system,sharder-7698587fc6-fkjls
1707159862,15433456,sharding-system,sharder-7698587fc6-fkjls
1707159877,18802808,sharding-system,sharder-7698587fc6-fkjls
1707159892,18754360,sharding-system,sharder-7698587fc6-fkjls
1707159907,15447584,sharding-system,sharder-7698587fc6-fkjls
1707159922,16659592,sharding-system,sharder-7698587fc6-fkjls
1707159937,16707976,sharding-system,sharder-7698587fc6-fkjls
1707159952,15409880,sharding-system,sharder-7698587fc6-fkjls
1707159967,15448488,sharding-system,sharder-7698587fc6-fkjls
1707159982,15421016,sharding-system,sharder-7698587fc6-fkjls
1707159997,15425608,sharding-system,sharder-7698587fc6-fkjls
1707160012,16661072,sharding-system,sharder-7698587fc6-fkjls
1707160027,15451216,sharding-system,sharder-7698587fc6-fkjls
1707160042,15414464,sharding-system,sharder-7698587fc6-fkjls
1707160057,19789792,sharding-system,sharder-7698587fc6-fkjls
1707160072,15425224,sharding-system,sharder-7698587fc6-fkjls
1707160087,15407736,sharding-system,sharder-7698587fc6-fkjls
1707160102,15343328,sharding-system,sharder-7698587fc6-fkjls
1707160117,15410448,sharding-system,sharder-7698587fc6-fkjls
1707160132,15416064,sharding-system,sharder-7698587fc6-fkjls
1707160147,15413248,sharding-system,sharder-7698587fc6-fkjls
1707159247,19047320,webhosting-system,webhosting-operator-657c8c8468-68rbx
1707159262,22747944,webhosting-system,webhosting-operator-657c8c8468-68rbx
1707159277,23911824,webhosting-system,webhosting-operator-657c8c8468-68rbx
1707159292,29215520,webhosting-system,webhosting-operator-657c8c8468-68rbx
1707159307,29001752,webhosting-system,webhosting-operator-657c8c8468-68rbx
1707159322,28701800,webhosting-system,webhosting-operator-657c8c8468-68rbx
1707159337,42821672,webhosting-system,webhosting-operator-657c8c8468-68rbx
1707159352,43267496,webhosting-system,webhosting-operator-657c8c8468-68rbx
1707159367,40967864,webhosting-system,webhosting-operator-657c8c8468-68rbx
1707159382,46497056,webhosting-system,webhosting-operator-657c8c8468-68rbx
1707159397,56482696,webhosting-system,webhosting-operator-657c8c8468-68rbx
1707159412,54072064,webhosting-system,webhosting-operator-657c8c8468-68rbx
1707159427,73821936,webhosting-system,webhosting-operator-657c8c8468-68rbx
1707159442,53394240,webhosting-system,webhosting-operator-657c8c8468-68rbx
1707159457,59722816,webhosting-system,webhosting-operator-657c8c8468-68rbx
1707159472,69643528,webhosting-system,webhosting-operator-657c8c8468-68rbx
1707159487,81012168,webhosting-system,webhosting-operator-657c8c8468-68rbx
1707159502,96380608,webhosting-system,webhosting-operator-657c8c8468-68rbx
1707159517,81343032,webhosting-system,webhosting-operator-657c8c8468-68rbx
1707159532,92360408,webhosting-system,webhosting-operator-657c8c8468-68rbx
1707159547,91165872,webhosting-system,webhosting-operator-657c8c8468-68rbx
1707159562,103874880,webhosting-system,webhosting-operator-657c8c8468-68rbx
1707159577,97744600,webhosting-system,webhosting-operator-657c8c8468-68rbx
1707159592,101656016,webhosting-system,webhosting-operator-657c8c8468-68rbx
1707159607,98461336,webhosting-system,webhosting-operator-657c8c8468-68rbx
1707159622,135476544,webhosting-system,webhosting-operator-657c8c8468-68rbx
1707159637,122151280,webhosting-system,webhosting-operator-657c8c8468-68rbx
1707159652,96197576,webhosting-system,webhosting-operator-657c8c8468-68rbx
1707159667,147425216,webhosting-system,webhosting-operator-657c8c8468-68rbx
1707159682,139211064,webhosting-system,webhosting-operator-657c8c8468-68rbx
1707159697,153504936,webhosting-system,webhosting-operator-657c8c8468-68rbx
1707159712,101637048,webhosting-system,webhosting-operator-657c8c8468-68rbx
1707159727,166485272,webhosting-system,webhosting-operator-657c8c8468-68rbx
1707159742,145988288,webhosting-system,webhosting-operator-657c8c8468-68rbx
1707159757,137150288,webhosting-system,webhosting-operator-657c8c8468-68rbx
1707159772,110720832,webhosting-system,webhosting-operator-657c8c8468-68rbx
1707159787,120614744,webhosting-system,webhosting-operator-657c8c8468-68rbx
1707159802,152936448,webhosting-system,webhosting-operator-657c8c8468-68rbx
1707159817,182222832,webhosting-system,webhosting-operator-657c8c8468-68rbx
1707159832,134154888,webhosting-system,webhosting-operator-657c8c8468-68rbx
1707159847,166490504,webhosting-system,webhosting-operator-657c8c8468-68rbx
1707159862,185124088,webhosting-system,webhosting-operator-657c8c8468-68rbx
1707159877,187341448,webhosting-system,webhosting-operator-657c8c8468-68rbx
1707159892,166575728,webhosting-system,webhosting-operator-657c8c8468-68rbx
1707159907,208699040,webhosting-system,webhosting-operator-657c8c8468-68rbx
1707159922,200954208,webhosting-system,webhosting-operator-657c8c8468-68rbx
1707159937,202375136,webhosting-system,webhosting-operator-657c8c8468-68rbx
