ts,value,namespace,pod
1707159247,6908.359506666667,sharding-system,sharder-7698587fc6-276wb
1707159262,11610.4,sharding-system,sharder-7698587fc6-276wb
1707159277,11610.4,sharding-system,sharder-7698587fc6-276wb
1707159292,14476.76,sharding-system,sharder-7698587fc6-276wb
1707159307,13342.7,sharding-system,sharder-7698587fc6-276wb
1707159322,13869.800000000001,sharding-system,sharder-7698587fc6-276wb
1707159337,10936.6,sharding-system,sharder-7698587fc6-276wb
1707159352,13031.800000000001,sharding-system,sharder-7698587fc6-276wb
1707159367,16225.28,sharding-system,sharder-7698587fc6-276wb
1707159382,15546.28,sharding-system,sharder-7698587fc6-276wb
1707159397,11075.26,sharding-system,sharder-7698587fc6-276wb
1707159412,11636.42,sharding-system,sharder-7698587fc6-276wb
1707159427,11636.42,sharding-system,sharder-7698587fc6-276wb
1707159442,17015.68,sharding-system,sharder-7698587fc6-276wb
1707159457,16171.04,sharding-system,sharder-7698587fc6-276wb
1707159472,16799.82,sharding-system,sharder-7698587fc6-276wb
1707159487,15007.300000000001,sharding-system,sharder-7698587fc6-276wb
1707159502,10982.04,sharding-system,sharder-7698587fc6-276wb
1707159517,12537.800000000001,sharding-system,sharder-7698587fc6-276wb
1707159532,14465.56,sharding-system,sharder-7698587fc6-276wb
1707159547,13825.58,sharding-system,sharder-7698587fc6-276wb
1707159562,13694.32,sharding-system,sharder-7698587fc6-276wb
1707159577,17892.62,sharding-system,sharder-7698587fc6-276wb
1707159592,16785.08,sharding-system,sharder-7698587fc6-276wb
1707159607,14972.220000000001,sharding-system,sharder-7698587fc6-276wb
1707159622,15468.64,sharding-system,sharder-7698587fc6-276wb
1707159637,11366.94,sharding-system,sharder-7698587fc6-276wb
1707159652,15087.4,sharding-system,sharder-7698587fc6-276wb
1707159667,15087.4,sharding-system,sharder-7698587fc6-276wb
1707159682,19547.46,sharding-system,sharder-7698587fc6-276wb
1707159697,14561.460000000001,sharding-system,sharder-7698587fc6-276wb
1707159712,14095.48,sharding-system,sharder-7698587fc6-276wb
1707159727,16044,sharding-system,sharder-7698587fc6-276wb
1707159742,19198.260000000002,sharding-system,sharder-7698587fc6-276wb
1707159757,14257.56,sharding-system,sharder-7698587fc6-276wb
1707159772,13781.52,sharding-system,sharder-7698587fc6-276wb
1707159787,13122.42,sharding-system,sharder-7698587fc6-276wb
1707159802,16786.14,sharding-system,sharder-7698587fc6-276wb
1707159817,14586.26,sharding-system,sharder-7698587fc6-276wb
1707159832,15901.6,sharding-system,sharder-7698587fc6-276wb
1707159847,16672.64,sharding-system,sharder-7698587fc6-276wb
1707159862,15253.14,sharding-system,sharder-7698587fc6-276wb
1707159877,10185.86,sharding-system,sharder-7698587fc6-276wb
1707159892,14769.78,sharding-system,sharder-7698587fc6-276wb
1707159907,18584.4,sharding-system,sharder-7698587fc6-276wb
1707159922,17455.06,sharding-system,sharder-7698587fc6-276wb
1707159937,16179.98,sharding-system,sharder-7698587fc6-276wb
1707159952,16732.72,sharding-system,sharder-7698587fc6-276wb
1707159967,12710.92,sharding-system,sharder-7698587fc6-276wb
1707159982,14066.74,sharding-system,sharder-7698587fc6-276wb
1707159997,16101.44,sharding-system,sharder-7698587fc6-276wb
1707160012,18967.48,sharding-system,sharder-7698587fc6-276wb
1707160027,12585.82,sharding-system,sharder-7698587fc6-276wb
1707160042,18358.38,sharding-system,sharder-7698587fc6-276wb
1707160057,18358.38,sharding-system,sharder-7698587fc6-276wb
1707160072,18388.24,sharding-system,sharder-7698587fc6-276wb
1707160087,19163.8,sharding-system,sharder-7698587fc6-276wb
1707160102,18500.84,sharding-system,sharder-7698587fc6-276wb
1707160117,11874.24,sharding-system,sharder-7698587fc6-276wb
1707160132,17530.88,sharding-system,sharder-7698587fc6-276wb
1707160147,17530.88,sharding-system,sharder-7698587fc6-276wb
1707159247,8937.72723,sharding-system,sharder-7698587fc6-fkjls
1707159262,11779.512906,sharding-system,sharder-7698587fc6-fkjls
1707159277,16414.103935,sharding-system,sharder-7698587fc6-fkjls
1707159292,16134,sharding-system,sharder-7698587fc6-fkjls
1707159307,11216.08,sharding-system,sharder-7698587fc6-fkjls
1707159322,18719.64,sharding-system,sharder-7698587fc6-fkjls
1707159337,18889.34,sharding-system,sharder-7698587fc6-fkjls
1707159352,20883.96,sharding-system,sharder-7698587fc6-fkjls
1707159367,14076.04,sharding-system,sharder-7698587fc6-fkjls
1707159382,15705.74,sharding-system,sharder-7698587fc6-fkjls
1707159397,22187.16,sharding-system,sharder-7698587fc6-fkjls
1707159412,22567.5,sharding-system,sharder-7698587fc6-fkjls
1707159427,20028.44,sharding-system,sharder-7698587fc6-fkjls
1707159442,14079.48,sharding-system,sharder-7698587fc6-fkjls
1707159457,19479.9,sharding-system,sharder-7698587fc6-fkjls
1707159472,18815.74,sharding-system,sharder-7698587fc6-fkjls
1707159487,14586.52,sharding-system,sharder-7698587fc6-fkjls
1707159502,22375.94,sharding-system,sharder-7698587fc6-fkjls
1707159517,17768.3,sharding-system,sharder-7698587fc6-fkjls
1707159532,24332.9,sharding-system,sharder-7698587fc6-fkjls
1707159547,17443.22,sharding-system,sharder-7698587fc6-fkjls
1707159562,17706.58,sharding-system,sharder-7698587fc6-fkjls
1707159577,20063.88,sharding-system,sharder-7698587fc6-fkjls
1707159592,19542.66,sharding-system,sharder-7698587fc6-fkjls
1707159607,20157.78,sharding-system,sharder-7698587fc6-fkjls
1707159622,17817.96,sharding-system,sharder-7698587fc6-fkjls
1707159637,19545.88,sharding-system,sharder-7698587fc6-fkjls
1707159652,17485.82,sharding-system,sharder-7698587fc6-fkjls
1707159667,18564.36,sharding-system,sharder-7698587fc6-fkjls
1707159682,18421.78,sharding-system,sharder-7698587fc6-fkjls
1707159697,20361.36,sharding-system,sharder-7698587fc6-fkjls
1707159712,21872.02,sharding-system,sharder-7698587fc6-fkjls
1707159727,22381.78,sharding-system,sharder-7698587fc6-fkjls
1707159742,21201.920000000002,sharding-system,sharder-7698587fc6-fkjls
