ts,value,namespace,pod
1700327193,20254720,sharding-system,sharder-867b4fc668-f4vrg
1700327208,20254720,sharding-system,sharder-867b4fc668-f4vrg
1700327223,19591168,sharding-system,sharder-867b4fc668-f4vrg
1700327238,19591168,sharding-system,sharder-867b4fc668-f4vrg
1700327253,22503424,sharding-system,sharder-867b4fc668-f4vrg
1700327268,22503424,sharding-system,sharder-867b4fc668-f4vrg
1700327283,21405696,sharding-system,sharder-867b4fc668-f4vrg
1700327298,21405696,sharding-system,sharder-867b4fc668-f4vrg
1700327313,21991424,sharding-system,sharder-867b4fc668-f4vrg
1700327328,21991424,sharding-system,sharder-867b4fc668-f4vrg
1700327343,22368256,sharding-system,sharder-867b4fc668-f4vrg
1700327358,22368256,sharding-system,sharder-867b4fc668-f4vrg
1700327373,21352448,sharding-system,sharder-867b4fc668-f4vrg
1700327388,21352448,sharding-system,sharder-867b4fc668-f4vrg
1700327403,21585920,sharding-system,sharder-867b4fc668-f4vrg
1700327418,21585920,sharding-system,sharder-867b4fc668-f4vrg
1700327433,21798912,sharding-system,sharder-867b4fc668-f4vrg
1700327448,21798912,sharding-system,sharder-867b4fc668-f4vrg
1700327463,22626304,sharding-system,sharder-867b4fc668-f4vrg
1700327478,22626304,sharding-system,sharder-867b4fc668-f4vrg
1700327493,24215552,sharding-system,sharder-867b4fc668-f4vrg
1700327508,24215552,sharding-system,sharder-867b4fc668-f4vrg
1700327523,22532096,sharding-system,sharder-867b4fc668-f4vrg
1700327538,22532096,sharding-system,sharder-867b4fc668-f4vrg
1700327553,24748032,sharding-system,sharder-867b4fc668-f4vrg
1700327568,24748032,sharding-system,sharder-867b4fc668-f4vrg
1700327583,23977984,sharding-system,sharder-867b4fc668-f4vrg
1700327598,23977984,sharding-system,sharder-867b4fc668-f4vrg
1700327613,23822336,sharding-system,sharder-867b4fc668-f4vrg
1700327628,23822336,sharding-system,sharder-867b4fc668-f4vrg
1700327643,24469504,sharding-system,sharder-867b4fc668-f4vrg
1700327658,24469504,sharding-system,sharder-867b4fc668-f4vrg
