ts,value,namespace,pod
1702377628,10454.333333333334,sharding-system,sharder-56c9855df5-n64qs
1702377628,35091.4,sharding-system,sharder-56c9855df5-tv49x
1702377628,7917.7,sharding-system,sharder-666684b7b5-94chs
1702377658,32180.633333333335,sharding-system,sharder-666684b7b5-94chs
1702377688,99687.43333333333,sharding-system,sharder-666684b7b5-94chs
1702377718,147064.43333333332,sharding-system,sharder-666684b7b5-94chs
1702377748,140991.16666666666,sharding-system,sharder-666684b7b5-94chs
1702377778,27895.166666666668,sharding-system,sharder-666684b7b5-94chs
1702377808,114462.63333333333,sharding-system,sharder-666684b7b5-94chs
1702377838,111782.1,sharding-system,sharder-666684b7b5-94chs
1702377868,119329.73333333334,sharding-system,sharder-666684b7b5-94chs
1702377898,140970.7,sharding-system,sharder-666684b7b5-94chs
1702377928,231099.43333333332,sharding-system,sharder-666684b7b5-94chs
1702377958,151923.2,sharding-system,sharder-666684b7b5-94chs
1702377988,185183.66666666666,sharding-system,sharder-666684b7b5-94chs
1702378018,95796.7,sharding-system,sharder-666684b7b5-94chs
1702378048,97032.13333333333,sharding-system,sharder-666684b7b5-94chs
1702378078,128044.76666666666,sharding-system,sharder-666684b7b5-94chs
1702378108,119162.9,sharding-system,sharder-666684b7b5-94chs
1702378138,138385.16666666666,sharding-system,sharder-666684b7b5-94chs
1702378168,135773.43333333332,sharding-system,sharder-666684b7b5-94chs
1702378198,275606.1666666667,sharding-system,sharder-666684b7b5-94chs
1702378228,53419.1,sharding-system,sharder-666684b7b5-94chs
1702378258,139823.63333333333,sharding-system,sharder-666684b7b5-94chs
1702378288,53655.03333333333,sharding-system,sharder-666684b7b5-94chs
1702378318,12645.633333333333,sharding-system,sharder-666684b7b5-94chs
1702378348,6773.233333333334,sharding-system,sharder-666684b7b5-94chs
1702378378,13414.166666666666,sharding-system,sharder-666684b7b5-94chs
1702378408,11964.9,sharding-system,sharder-666684b7b5-94chs
1702378438,9615.8,sharding-system,sharder-666684b7b5-94chs
1702378468,12332.366666666667,sharding-system,sharder-666684b7b5-94chs
1702378498,10841.133333333333,sharding-system,sharder-666684b7b5-94chs
1702378528,149051.03333333333,sharding-system,sharder-666684b7b5-94chs
1702377628,6257,sharding-system,sharder-666684b7b5-m92q4
1702377658,5983.3,sharding-system,sharder-666684b7b5-m92q4
1702377688,112448.7,sharding-system,sharder-666684b7b5-m92q4
1702377718,96648.93333333333,sharding-system,sharder-666684b7b5-m92q4
1702377748,186683.66666666666,sharding-system,sharder-666684b7b5-m92q4
1702377778,111677.36666666667,sharding-system,sharder-666684b7b5-m92q4
1702377808,184203.26666666666,sharding-system,sharder-666684b7b5-m92q4
1702377838,158042.66666666666,sharding-system,sharder-666684b7b5-m92q4
1702377868,169060.2,sharding-system,sharder-666684b7b5-m92q4
1702377898,96402.2,sharding-system,sharder-666684b7b5-m92q4
1702377928,100115.33333333333,sharding-system,sharder-666684b7b5-m92q4
1702377958,114625.83333333333,sharding-system,sharder-666684b7b5-m92q4
1702377988,50483.066666666666,sharding-system,sharder-666684b7b5-m92q4
1702378018,199315.5,sharding-system,sharder-666684b7b5-m92q4
1702378048,91120.96666666666,sharding-system,sharder-666684b7b5-m92q4
1702378078,163853.6,sharding-system,sharder-666684b7b5-m92q4
1702378108,127116.86666666667,sharding-system,sharder-666684b7b5-m92q4
1702378138,82695.7,sharding-system,sharder-666684b7b5-m92q4
1702378168,165464.5,sharding-system,sharder-666684b7b5-m92q4
1702378198,125196.66666666667,sharding-system,sharder-666684b7b5-m92q4
1702378228,142137.6,sharding-system,sharder-666684b7b5-m92q4
1702378258,120982.63333333333,sharding-system,sharder-666684b7b5-m92q4
1702378288,16454.433333333334,sharding-system,sharder-666684b7b5-m92q4
1702378318,11935.533333333333,sharding-system,sharder-666684b7b5-m92q4
1702378348,8235.033333333333,sharding-system,sharder-666684b7b5-m92q4
1702378378,12770,sharding-system,sharder-666684b7b5-m92q4
1702378408,9616.066666666668,sharding-system,sharder-666684b7b5-m92q4
1702378438,6704.466666666666,sharding-system,sharder-666684b7b5-m92q4
1702378468,15230.833333333334,sharding-system,sharder-666684b7b5-m92q4
1702378498,11259.3,sharding-system,sharder-666684b7b5-m92q4
1702378528,10431.933333333332,sharding-system,sharder-666684b7b5-m92q4
1702377628,7001.766666666666,webhosting-system,webhosting-operator-5f44bd7b6d-2mx2g
1702377628,6807.8,webhosting-system,webhosting-operator-5f44bd7b6d-qkbxm
