ts,value,namespace,pod
1702377628,26990,sharding-system,sharder-56c9855df5-n64qs
1702377628,38253.566666666666,sharding-system,sharder-56c9855df5-tv49x
1702377628,11776.866666666667,sharding-system,sharder-666684b7b5-94chs
1702377658,28774.466666666667,sharding-system,sharder-666684b7b5-94chs
1702377688,42971.8,sharding-system,sharder-666684b7b5-94chs
1702377718,60472.1,sharding-system,sharder-666684b7b5-94chs
1702377748,64400.23333333333,sharding-system,sharder-666684b7b5-94chs
1702377778,15800.1,sharding-system,sharder-666684b7b5-94chs
1702377808,54423.1,sharding-system,sharder-666684b7b5-94chs
1702377838,55968.9,sharding-system,sharder-666684b7b5-94chs
1702377868,47813.5,sharding-system,sharder-666684b7b5-94chs
1702377898,54766.26666666667,sharding-system,sharder-666684b7b5-94chs
1702377928,72498.76666666666,sharding-system,sharder-666684b7b5-94chs
1702377958,62308.333333333336,sharding-system,sharder-666684b7b5-94chs
1702377988,77945.7,sharding-system,sharder-666684b7b5-94chs
1702378018,48011.26666666667,sharding-system,sharder-666684b7b5-94chs
1702378048,47001.433333333334,sharding-system,sharder-666684b7b5-94chs
1702378078,62416.9,sharding-system,sharder-666684b7b5-94chs
1702378108,52721.3,sharding-system,sharder-666684b7b5-94chs
1702378138,66403.86666666667,sharding-system,sharder-666684b7b5-94chs
1702378168,60976.13333333333,sharding-system,sharder-666684b7b5-94chs
1702378198,72469.13333333333,sharding-system,sharder-666684b7b5-94chs
1702378228,25618.2,sharding-system,sharder-666684b7b5-94chs
1702378258,66988.76666666666,sharding-system,sharder-666684b7b5-94chs
1702378288,48626.3,sharding-system,sharder-666684b7b5-94chs
1702378318,37944.333333333336,sharding-system,sharder-666684b7b5-94chs
1702378348,19955.3,sharding-system,sharder-666684b7b5-94chs
1702378378,39943.666666666664,sharding-system,sharder-666684b7b5-94chs
1702378408,35811.566666666666,sharding-system,sharder-666684b7b5-94chs
1702378438,29097.433333333334,sharding-system,sharder-666684b7b5-94chs
1702378468,36097.7,sharding-system,sharder-666684b7b5-94chs
1702378498,33460.166666666664,sharding-system,sharder-666684b7b5-94chs
1702378528,43342.433333333334,sharding-system,sharder-666684b7b5-94chs
1702377628,11503.133333333333,sharding-system,sharder-666684b7b5-m92q4
1702377658,12771.966666666667,sharding-system,sharder-666684b7b5-m92q4
1702377688,40294.6,sharding-system,sharder-666684b7b5-m92q4
1702377718,37137.566666666666,sharding-system,sharder-666684b7b5-m92q4
1702377748,72394.3,sharding-system,sharder-666684b7b5-m92q4
1702377778,38266.566666666666,sharding-system,sharder-666684b7b5-m92q4
1702377808,68071.13333333333,sharding-system,sharder-666684b7b5-m92q4
1702377838,57067.2,sharding-system,sharder-666684b7b5-m92q4
1702377868,70012.13333333333,sharding-system,sharder-666684b7b5-m92q4
1702377898,42699.23333333333,sharding-system,sharder-666684b7b5-m92q4
1702377928,44299.2,sharding-system,sharder-666684b7b5-m92q4
1702377958,51531.86666666667,sharding-system,sharder-666684b7b5-m92q4
1702377988,24039.966666666667,sharding-system,sharder-666684b7b5-m92q4
1702378018,77366.66666666667,sharding-system,sharder-666684b7b5-m92q4
1702378048,35411.1,sharding-system,sharder-666684b7b5-m92q4
1702378078,65373.36666666667,sharding-system,sharder-666684b7b5-m92q4
1702378108,53957.03333333333,sharding-system,sharder-666684b7b5-m92q4
1702378138,31349.7,sharding-system,sharder-666684b7b5-m92q4
1702378168,71453.33333333333,sharding-system,sharder-666684b7b5-m92q4
1702378198,54047.9,sharding-system,sharder-666684b7b5-m92q4
1702378228,58205.7,sharding-system,sharder-666684b7b5-m92q4
1702378258,53148.9,sharding-system,sharder-666684b7b5-m92q4
1702378288,26977.3,sharding-system,sharder-666684b7b5-m92q4
1702378318,30833.333333333332,sharding-system,sharder-666684b7b5-m92q4
1702378348,21699.366666666665,sharding-system,sharder-666684b7b5-m92q4
1702378378,33475.433333333334,sharding-system,sharder-666684b7b5-m92q4
1702378408,25877.733333333334,sharding-system,sharder-666684b7b5-m92q4
1702378438,17089.066666666666,sharding-system,sharder-666684b7b5-m92q4
1702378468,40694.2,sharding-system,sharder-666684b7b5-m92q4
1702378498,28892.333333333332,sharding-system,sharder-666684b7b5-m92q4
1702378528,27943.3,sharding-system,sharder-666684b7b5-m92q4
1702377628,61367.833333333336,webhosting-system,webhosting-operator-5f44bd7b6d-2mx2g
1702377628,56270.76666666667,webhosting-system,webhosting-operator-5f44bd7b6d-qkbxm
1702377628,9266.366666666667,webhosting-system,webhosting-operator-7587445cdb-6tsmw
1702377658,13297.266666666666,webhosting-system,webhosting-operator-7587445cdb-6tsmw
1702377688,244471.96666666667,webhosting-system,webhosting-operator-7587445cdb-6tsmw
1702377718,274781.5,webhosting-system,webhosting-operator-7587445cdb-6tsmw
1702377748,203699.43333333332,webhosting-system,webhosting-operator-7587445cdb-6tsmw
1702377778,531375.9333333333,webhosting-system,webhosting-operator-7587445cdb-6tsmw
1702377808,186406.36666666667,webhosting-system,webhosting-operator-7587445cdb-6tsmw
1702377838,579468.9666666667,webhosting-system,webhosting-operator-7587445cdb-6tsmw
1702377868,436606.6666666667,webhosting-system,webhosting-operator-7587445cdb-6tsmw
1702377898,511821.6666666667,webhosting-system,webhosting-operator-7587445cdb-6tsmw
1702377928,541069.4,webhosting-system,webhosting-operator-7587445cdb-6tsmw
1702377958,557428.7333333333,webhosting-system,webhosting-operator-7587445cdb-6tsmw
1702377988,315126.56666666665,webhosting-system,webhosting-operator-7587445cdb-6tsmw
1702378018,690117.4,webhosting-system,webhosting-operator-7587445cdb-6tsmw
1702378048,518448.93333333335,webhosting-system,webhosting-operator-7587445cdb-6tsmw
1702378078,665615.6,webhosting-system,webhosting-operator-7587445cdb-6tsmw
1702378108,990820.6,webhosting-system,webhosting-operator-7587445cdb-6tsmw
1702378138,526933,webhosting-system,webhosting-operator-7587445cdb-6tsmw
1702378168,713175.3,webhosting-system,webhosting-operator-7587445cdb-6tsmw
1702378198,795379.0666666667,webhosting-system,webhosting-operator-7587445cdb-6tsmw
1702378228,942140.4666666667,webhosting-system,webhosting-operator-7587445cdb-6tsmw
1702378258,915079.4333333333,webhosting-system,webhosting-operator-7587445cdb-6tsmw
1702378288,368161.43333333335,webhosting-system,webhosting-operator-7587445cdb-6tsmw
1702378318,945689.5333333333,webhosting-system,webhosting-operator-7587445cdb-6tsmw
1702378348,656195.1333333333,webhosting-system,webhosting-operator-7587445cdb-6tsmw
1702378378,725115.7333333333,webhosting-system,webhosting-operator-7587445cdb-6tsmw
1702378408,647947.9,webhosting-system,webhosting-operator-7587445cdb-6tsmw
1702378438,813984.3,webhosting-system,webhosting-operator-7587445cdb-6tsmw
1702378468,691038.2,webhosting-system,webhosting-operator-7587445cdb-6tsmw
1702378498,693723.8333333334,webhosting-system,webhosting-operator-7587445cdb-6tsmw
1702378528,686222.0666666667,webhosting-system,webhosting-operator-7587445cdb-6tsmw
1702377628,12787.033333333333,webhosting-system,webhosting-operator-7587445cdb-b6mjx
1702377658,7299.666666666667,webhosting-system,webhosting-operator-7587445cdb-b6mjx
1702377688,216752.03333333333,webhosting-system,webhosting-operator-7587445cdb-b6mjx
1702377718,195583.96666666667,webhosting-system,webhosting-operator-7587445cdb-b6mjx
1702377748,356852.4,webhosting-system,webhosting-operator-7587445cdb-b6mjx
1702377778,432779.4,webhosting-system,webhosting-operator-7587445cdb-b6mjx
1702377808,239715.76666666666,webhosting-system,webhosting-operator-7587445cdb-b6mjx
1702377838,483467.13333333336,webhosting-system,webhosting-operator-7587445cdb-b6mjx
1702377868,385788.9666666667,webhosting-system,webhosting-operator-7587445cdb-b6mjx
1702377898,492986.36666666664,webhosting-system,webhosting-operator-7587445cdb-b6mjx
1702377928,465914.5,webhosting-system,webhosting-operator-7587445cdb-b6mjx
1702377958,741362.5666666667,webhosting-system,webhosting-operator-7587445cdb-b6mjx
1702377988,258974.76666666666,webhosting-system,webhosting-operator-7587445cdb-b6mjx
1702378018,740635.2,webhosting-system,webhosting-operator-7587445cdb-b6mjx
1702378048,560266.7666666667,webhosting-system,webhosting-operator-7587445cdb-b6mjx
1702378078,713056,webhosting-system,webhosting-operator-7587445cdb-b6mjx
1702378108,1061660.0666666667,webhosting-system,webhosting-operator-7587445cdb-b6mjx
1702378138,769206.5,webhosting-system,webhosting-operator-7587445cdb-b6mjx
1702378168,736076.4333333333,webhosting-system,webhosting-operator-7587445cdb-b6mjx
1702378198,395463.1666666667,webhosting-system,webhosting-operator-7587445cdb-b6mjx
1702378228,968978.7666666667,webhosting-system,webhosting-operator-7587445cdb-b6mjx
1702378258,1210107.8,webhosting-system,webhosting-operator-7587445cdb-b6mjx
1702378288,701785.5,webhosting-system,webhosting-operator-7587445cdb-b6mjx
1702378318,524002.23333333334,webhosting-system,webhosting-operator-7587445cdb-b6mjx
1702378348,767113.4666666667,webhosting-system,webhosting-operator-7587445cdb-b6mjx
1702378378,816630.6,webhosting-system,webhosting-operator-7587445cdb-b6mjx
1702378408,725677.9,webhosting-system,webhosting-operator-7587445cdb-b6mjx
