ts,value,namespace,pod
1700323433,8667.433333333332,webhosting-system,webhosting-operator-7846c98f7f-5hvkn
1700323448,8667.433333333332,webhosting-system,webhosting-operator-7846c98f7f-5hvkn
1700323463,168429.9,webhosting-system,webhosting-operator-7846c98f7f-5hvkn
1700323478,168429.9,webhosting-system,webhosting-operator-7846c98f7f-5hvkn
1700323493,419861.9666666667,webhosting-system,webhosting-operator-7846c98f7f-5hvkn
1700323508,419861.9666666667,webhosting-system,webhosting-operator-7846c98f7f-5hvkn
1700323523,348150.13333333336,webhosting-system,webhosting-operator-7846c98f7f-5hvkn
1700323538,348150.13333333336,webhosting-system,webhosting-operator-7846c98f7f-5hvkn
1700323553,372192.63333333336,webhosting-system,webhosting-operator-7846c98f7f-5hvkn
1700323568,372192.63333333336,webhosting-system,webhosting-operator-7846c98f7f-5hvkn
1700323583,259448.4,webhosting-system,webhosting-operator-7846c98f7f-5hvkn
1700323598,259448.4,webhosting-system,webhosting-operator-7846c98f7f-5hvkn
1700323613,519324.3333333333,webhosting-system,webhosting-operator-7846c98f7f-5hvkn
1700323628,519324.3333333333,webhosting-system,webhosting-operator-7846c98f7f-5hvkn
1700323643,271043.9,webhosting-system,webhosting-operator-7846c98f7f-5hvkn
1700323658,271043.9,webhosting-system,webhosting-operator-7846c98f7f-5hvkn
1700323673,631857.2666666667,webhosting-system,webhosting-operator-7846c98f7f-5hvkn
1700323688,631857.2666666667,webhosting-system,webhosting-operator-7846c98f7f-5hvkn
1700323703,528013.5,webhosting-system,webhosting-operator-7846c98f7f-5hvkn
1700323718,528013.5,webhosting-system,webhosting-operator-7846c98f7f-5hvkn
1700323733,577803.7666666667,webhosting-system,webhosting-operator-7846c98f7f-5hvkn
1700323748,577803.7666666667,webhosting-system,webhosting-operator-7846c98f7f-5hvkn
1700323763,719153.7,webhosting-system,webhosting-operator-7846c98f7f-5hvkn
1700323778,719153.7,webhosting-system,webhosting-operator-7846c98f7f-5hvkn
1700323793,353136.73333333334,webhosting-system,webhosting-operator-7846c98f7f-5hvkn
1700323808,353136.73333333334,webhosting-system,webhosting-operator-7846c98f7f-5hvkn
1700323823,749699.8333333334,webhosting-system,webhosting-operator-7846c98f7f-5hvkn
1700323838,749699.8333333334,webhosting-system,webhosting-operator-7846c98f7f-5hvkn
1700323853,703689.7666666667,webhosting-system,webhosting-operator-7846c98f7f-5hvkn
1700323868,703689.7666666667,webhosting-system,webhosting-operator-7846c98f7f-5hvkn
1700323883,801253.4333333333,webhosting-system,webhosting-operator-7846c98f7f-5hvkn
1700323898,801253.4333333333,webhosting-system,webhosting-operator-7846c98f7f-5hvkn
1700323913,547613.1,webhosting-system,webhosting-operator-7846c98f7f-5hvkn
1700323928,547613.1,webhosting-system,webhosting-operator-7846c98f7f-5hvkn
1700323943,709605.2,webhosting-system,webhosting-operator-7846c98f7f-5hvkn
1700323958,709605.2,webhosting-system,webhosting-operator-7846c98f7f-5hvkn
1700323973,776040.4333333333,webhosting-system,webhosting-operator-7846c98f7f-5hvkn
1700323988,776040.4333333333,webhosting-system,webhosting-operator-7846c98f7f-5hvkn
1700324003,967581.8,webhosting-system,webhosting-operator-7846c98f7f-5hvkn
1700324018,967581.8,webhosting-system,webhosting-operator-7846c98f7f-5hvkn
1700324033,1008902.5,webhosting-system,webhosting-operator-7846c98f7f-5hvkn
1700324048,1008902.5,webhosting-system,webhosting-operator-7846c98f7f-5hvkn
1700324063,829794.5666666667,webhosting-system,webhosting-operator-7846c98f7f-5hvkn
1700324078,829794.5666666667,webhosting-system,webhosting-operator-7846c98f7f-5hvkn
1700324093,415989.3333333333,webhosting-system,webhosting-operator-7846c98f7f-5hvkn
1700324108,415989.3333333333,webhosting-system,webhosting-operator-7846c98f7f-5hvkn
1700324123,833110.4666666667,webhosting-system,webhosting-operator-7846c98f7f-5hvkn
1700324138,833110.4666666667,webhosting-system,webhosting-operator-7846c98f7f-5hvkn
1700324153,653264.2666666667,webhosting-system,webhosting-operator-7846c98f7f-5hvkn
1700324168,653264.2666666667,webhosting-system,webhosting-operator-7846c98f7f-5hvkn
1700324183,285957,webhosting-system,webhosting-operator-7846c98f7f-5hvkn
1700324198,285957,webhosting-system,webhosting-operator-7846c98f7f-5hvkn
1700324213,755015.8333333334,webhosting-system,webhosting-operator-7846c98f7f-5hvkn
1700324228,755015.8333333334,webhosting-system,webhosting-operator-7846c98f7f-5hvkn
1700324243,614614.6,webhosting-system,webhosting-operator-7846c98f7f-5hvkn
1700324258,614614.6,webhosting-system,webhosting-operator-7846c98f7f-5hvkn
1700324273,712913.8666666667,webhosting-system,webhosting-operator-7846c98f7f-5hvkn
1700324288,712913.8666666667,webhosting-system,webhosting-operator-7846c98f7f-5hvkn
1700324303,537786.5666666667,webhosting-system,webhosting-operator-7846c98f7f-5hvkn
1700324318,537786.5666666667,webhosting-system,webhosting-operator-7846c98f7f-5hvkn
1700324333,908020.1,webhosting-system,webhosting-operator-7846c98f7f-5hvkn
1700323433,7821.5,webhosting-system,webhosting-operator-7846c98f7f-7hwlk
1700323448,7821.5,webhosting-system,webhosting-operator-7846c98f7f-7hwlk
1700323463,128581,webhosting-system,webhosting-operator-7846c98f7f-7hwlk
1700323478,128581,webhosting-system,webhosting-operator-7846c98f7f-7hwlk
1700323493,248072.06666666668,webhosting-system,webhosting-operator-7846c98f7f-7hwlk
1700323508,248072.06666666668,webhosting-system,webhosting-operator-7846c98f7f-7hwlk
1700323523,285356,webhosting-system,webhosting-operator-7846c98f7f-7hwlk
1700323538,285356,webhosting-system,webhosting-operator-7846c98f7f-7hwlk
1700323553,362416.93333333335,webhosting-system,webhosting-operator-7846c98f7f-7hwlk
1700323568,362416.93333333335,webhosting-system,webhosting-operator-7846c98f7f-7hwlk
1700323583,444388,webhosting-system,webhosting-operator-7846c98f7f-7hwlk
1700323598,444388,webhosting-system,webhosting-operator-7846c98f7f-7hwlk
1700323613,208764.3,webhosting-system,webhosting-operator-7846c98f7f-7hwlk
1700323628,208764.3,webhosting-system,webhosting-operator-7846c98f7f-7hwlk
1700323643,599778.0333333333,webhosting-system,webhosting-operator-7846c98f7f-7hwlk
1700323658,599778.0333333333,webhosting-system,webhosting-operator-7846c98f7f-7hwlk
1700323673,253155.73333333334,webhosting-system,webhosting-operator-7846c98f7f-7hwlk
1700323688,253155.73333333334,webhosting-system,webhosting-operator-7846c98f7f-7hwlk
1700323703,490870.93333333335,webhosting-system,webhosting-operator-7846c98f7f-7hwlk
1700323718,490870.93333333335,webhosting-system,webhosting-operator-7846c98f7f-7hwlk
1700323733,578644.0666666667,webhosting-system,webhosting-operator-7846c98f7f-7hwlk
1700323748,578644.0666666667,webhosting-system,webhosting-operator-7846c98f7f-7hwlk
1700323763,569654.2,webhosting-system,webhosting-operator-7846c98f7f-7hwlk
1700323778,569654.2,webhosting-system,webhosting-operator-7846c98f7f-7hwlk
1700323793,592645.4666666667,webhosting-system,webhosting-operator-7846c98f7f-7hwlk
1700323808,592645.4666666667,webhosting-system,webhosting-operator-7846c98f7f-7hwlk
1700323823,527149.8,webhosting-system,webhosting-operator-7846c98f7f-7hwlk
1700323838,527149.8,webhosting-system,webhosting-operator-7846c98f7f-7hwlk
1700323853,642149.4,webhosting-system,webhosting-operator-7846c98f7f-7hwlk
1700323868,642149.4,webhosting-system,webhosting-operator-7846c98f7f-7hwlk
1700323883,690984.9,webhosting-system,webhosting-operator-7846c98f7f-7hwlk
1700323898,690984.9,webhosting-system,webhosting-operator-7846c98f7f-7hwlk
1700323913,696045.5666666667,webhosting-system,webhosting-operator-7846c98f7f-7hwlk
1700323928,696045.5666666667,webhosting-system,webhosting-operator-7846c98f7f-7hwlk
1700323943,866098.2333333333,webhosting-system,webhosting-operator-7846c98f7f-7hwlk
1700323958,866098.2333333333,webhosting-system,webhosting-operator-7846c98f7f-7hwlk
1700323973,566576,webhosting-system,webhosting-operator-7846c98f7f-7hwlk
1700323988,566576,webhosting-system,webhosting-operator-7846c98f7f-7hwlk
1700324003,765136.4333333333,webhosting-system,webhosting-operator-7846c98f7f-7hwlk
1700324018,765136.4333333333,webhosting-system,webhosting-operator-7846c98f7f-7hwlk
1700324033,1018859.1,webhosting-system,webhosting-operator-7846c98f7f-7hwlk
1700324048,1018859.1,webhosting-system,webhosting-operator-7846c98f7f-7hwlk
1700324063,601608.5666666667,webhosting-system,webhosting-operator-7846c98f7f-7hwlk
1700324078,601608.5666666667,webhosting-system,webhosting-operator-7846c98f7f-7hwlk
1700324093,450892.86666666664,webhosting-system,webhosting-operator-7846c98f7f-7hwlk
1700324108,450892.86666666664,webhosting-system,webhosting-operator-7846c98f7f-7hwlk
1700324123,468703.1,webhosting-system,webhosting-operator-7846c98f7f-7hwlk
