ts,value,namespace,pod
1700323433,18563.566666666666,webhosting-system,webhosting-operator-7846c98f7f-5hvkn
1700323448,18563.566666666666,webhosting-system,webhosting-operator-7846c98f7f-5hvkn
1700323463,177092.76666666666,webhosting-system,webhosting-operator-7846c98f7f-5hvkn
1700323478,177092.76666666666,webhosting-system,webhosting-operator-7846c98f7f-5hvkn
1700323493,428991.06666666665,webhosting-system,webhosting-operator-7846c98f7f-5hvkn
1700323508,428991.06666666665,webhosting-system,webhosting-operator-7846c98f7f-5hvkn
1700323523,369137.6666666667,webhosting-system,webhosting-operator-7846c98f7f-5hvkn
1700323538,369137.6666666667,webhosting-system,webhosting-operator-7846c98f7f-5hvkn
1700323553,397886.8333333333,webhosting-system,webhosting-operator-7846c98f7f-5hvkn
1700323568,397886.8333333333,webhosting-system,webhosting-operator-7846c98f7f-5hvkn
1700323583,280681.0333333333,webhosting-system,webhosting-operator-7846c98f7f-5hvkn
1700323598,280681.0333333333,webhosting-system,webhosting-operator-7846c98f7f-5hvkn
1700323613,564526.5,webhosting-system,webhosting-operator-7846c98f7f-5hvkn
1700323628,564526.5,webhosting-system,webhosting-operator-7846c98f7f-5hvkn
1700323643,296756.5,webhosting-system,webhosting-operator-7846c98f7f-5hvkn
1700323658,296756.5,webhosting-system,webhosting-operator-7846c98f7f-5hvkn
1700323673,690218.6666666666,webhosting-system,webhosting-operator-7846c98f7f-5hvkn
1700323688,690218.6666666666,webhosting-system,webhosting-operator-7846c98f7f-5hvkn
1700323703,581700.2,webhosting-system,webhosting-operator-7846c98f7f-5hvkn
1700323718,581700.2,webhosting-system,webhosting-operator-7846c98f7f-5hvkn
1700323733,644805.9,webhosting-system,webhosting-operator-7846c98f7f-5hvkn
1700323748,644805.9,webhosting-system,webhosting-operator-7846c98f7f-5hvkn
1700323763,800219.3333333334,webhosting-system,webhosting-operator-7846c98f7f-5hvkn
1700323778,800219.3333333334,webhosting-system,webhosting-operator-7846c98f7f-5hvkn
1700323793,400369.76666666666,webhosting-system,webhosting-operator-7846c98f7f-5hvkn
1700323808,400369.76666666666,webhosting-system,webhosting-operator-7846c98f7f-5hvkn
1700323823,839169.3666666667,webhosting-system,webhosting-operator-7846c98f7f-5hvkn
1700323838,839169.3666666667,webhosting-system,webhosting-operator-7846c98f7f-5hvkn
1700323853,795692.1333333333,webhosting-system,webhosting-operator-7846c98f7f-5hvkn
1700323868,795692.1333333333,webhosting-system,webhosting-operator-7846c98f7f-5hvkn
1700323883,905036.6666666666,webhosting-system,webhosting-operator-7846c98f7f-5hvkn
1700323898,905036.6666666666,webhosting-system,webhosting-operator-7846c98f7f-5hvkn
1700323913,618636.8333333334,webhosting-system,webhosting-operator-7846c98f7f-5hvkn
1700323928,618636.8333333334,webhosting-system,webhosting-operator-7846c98f7f-5hvkn
1700323943,807975.1666666666,webhosting-system,webhosting-operator-7846c98f7f-5hvkn
1700323958,807975.1666666666,webhosting-system,webhosting-operator-7846c98f7f-5hvkn
1700323973,878653.5666666667,webhosting-system,webhosting-operator-7846c98f7f-5hvkn
1700323988,878653.5666666667,webhosting-system,webhosting-operator-7846c98f7f-5hvkn
1700324003,1094810.5333333334,webhosting-system,webhosting-operator-7846c98f7f-5hvkn
1700324018,1094810.5333333334,webhosting-system,webhosting-operator-7846c98f7f-5hvkn
1700324033,1151910.9666666666,webhosting-system,webhosting-operator-7846c98f7f-5hvkn
1700324048,1151910.9666666666,webhosting-system,webhosting-operator-7846c98f7f-5hvkn
1700324063,996996.0333333333,webhosting-system,webhosting-operator-7846c98f7f-5hvkn
1700324078,996996.0333333333,webhosting-system,webhosting-operator-7846c98f7f-5hvkn
1700324093,515168.06666666665,webhosting-system,webhosting-operator-7846c98f7f-5hvkn
1700324108,515168.06666666665,webhosting-system,webhosting-operator-7846c98f7f-5hvkn
1700324123,1029326.1666666666,webhosting-system,webhosting-operator-7846c98f7f-5hvkn
1700324138,1029326.1666666666,webhosting-system,webhosting-operator-7846c98f7f-5hvkn
1700324153,807268.9,webhosting-system,webhosting-operator-7846c98f7f-5hvkn
1700324168,807268.9,webhosting-system,webhosting-operator-7846c98f7f-5hvkn
1700324183,354639.13333333336,webhosting-system,webhosting-operator-7846c98f7f-5hvkn
1700324198,354639.13333333336,webhosting-system,webhosting-operator-7846c98f7f-5hvkn
1700324213,935436.5,webhosting-system,webhosting-operator-7846c98f7f-5hvkn
1700324228,935436.5,webhosting-system,webhosting-operator-7846c98f7f-5hvkn
1700324243,760055.3,webhosting-system,webhosting-operator-7846c98f7f-5hvkn
1700324258,760055.3,webhosting-system,webhosting-operator-7846c98f7f-5hvkn
1700324273,882367.1,webhosting-system,webhosting-operator-7846c98f7f-5hvkn
1700324288,882367.1,webhosting-system,webhosting-operator-7846c98f7f-5hvkn
1700324303,667188.7333333333,webhosting-system,webhosting-operator-7846c98f7f-5hvkn
1700324318,667188.7333333333,webhosting-system,webhosting-operator-7846c98f7f-5hvkn
1700324333,1125199.1,webhosting-system,webhosting-operator-7846c98f7f-5hvkn
1700323433,15776.566666666668,webhosting-system,webhosting-operator-7846c98f7f-7hwlk
1700323448,15776.566666666668,webhosting-system,webhosting-operator-7846c98f7f-7hwlk
1700323463,132267.73333333334,webhosting-system,webhosting-operator-7846c98f7f-7hwlk
1700323478,132267.73333333334,webhosting-system,webhosting-operator-7846c98f7f-7hwlk
1700323493,242512.23333333334,webhosting-system,webhosting-operator-7846c98f7f-7hwlk
1700323508,242512.23333333334,webhosting-system,webhosting-operator-7846c98f7f-7hwlk
1700323523,289257.06666666665,webhosting-system,webhosting-operator-7846c98f7f-7hwlk
1700323538,289257.06666666665,webhosting-system,webhosting-operator-7846c98f7f-7hwlk
1700323553,370492.26666666666,webhosting-system,webhosting-operator-7846c98f7f-7hwlk
1700323568,370492.26666666666,webhosting-system,webhosting-operator-7846c98f7f-7hwlk
1700323583,471049.36666666664,webhosting-system,webhosting-operator-7846c98f7f-7hwlk
1700323598,471049.36666666664,webhosting-system,webhosting-operator-7846c98f7f-7hwlk
1700323613,225811.56666666668,webhosting-system,webhosting-operator-7846c98f7f-7hwlk
1700323628,225811.56666666668,webhosting-system,webhosting-operator-7846c98f7f-7hwlk
1700323643,650113.8,webhosting-system,webhosting-operator-7846c98f7f-7hwlk
1700323658,650113.8,webhosting-system,webhosting-operator-7846c98f7f-7hwlk
