ts,value,namespace,pod
1702387897,0.0038556999999999997,webhosting-system,webhosting-operator-5d64f86c94-2cxg2
1702387927,0.0038556999999999997,webhosting-system,webhosting-operator-5d64f86c94-2cxg2
1702387897,0.0019843876666666665,webhosting-system,webhosting-operator-5d64f86c94-w75zb
1702387927,0.007816726489583333,webhosting-system,webhosting-operator-5d64f86c94-w75zb
1702387957,0.046232278680555544,webhosting-system,webhosting-operator-5d64f86c94-w75zb
1702387987,0.083347006875,webhosting-system,webhosting-operator-5d64f86c94-w75zb
1702388017,0.13692265307638887,webhosting-system,webhosting-operator-5d64f86c94-w75zb
1702388047,0.15394275555555553,webhosting-system,webhosting-operator-5d64f86c94-w75zb
1702388077,0.17492156666666664,webhosting-system,webhosting-operator-5d64f86c94-w75zb
1702388107,0.18087547777777777,webhosting-system,webhosting-operator-5d64f86c94-w75zb
1702388137,0.21212684444444443,webhosting-system,webhosting-operator-5d64f86c94-w75zb
1702388167,0.23419265555555555,webhosting-system,webhosting-operator-5d64f86c94-w75zb
1702388197,0.24609835555555554,webhosting-system,webhosting-operator-5d64f86c94-w75zb
1702388227,0.20968648888888886,webhosting-system,webhosting-operator-5d64f86c94-w75zb
1702388257,0.1956964333333333,webhosting-system,webhosting-operator-5d64f86c94-w75zb
1702388287,0.24886715555555544,webhosting-system,webhosting-operator-5d64f86c94-w75zb
1702388317,0.24988613333333334,webhosting-system,webhosting-operator-5d64f86c94-w75zb
1702388347,0.32819535555555546,webhosting-system,webhosting-operator-5d64f86c94-w75zb
1702388377,0.24815408888888896,webhosting-system,webhosting-operator-5d64f86c94-w75zb
1702388407,0.3623537888888888,webhosting-system,webhosting-operator-5d64f86c94-w75zb
1702388437,0.2798077,webhosting-system,webhosting-operator-5d64f86c94-w75zb
1702388467,0.36692897777777755,webhosting-system,webhosting-operator-5d64f86c94-w75zb
1702388497,0.3593210777777778,webhosting-system,webhosting-operator-5d64f86c94-w75zb
1702388527,0.3805793777777779,webhosting-system,webhosting-operator-5d64f86c94-w75zb
1702388557,0.369926188888889,webhosting-system,webhosting-operator-5d64f86c94-w75zb
1702388587,0.34612512222222225,webhosting-system,webhosting-operator-5d64f86c94-w75zb
1702388617,0.36726003333333335,webhosting-system,webhosting-operator-5d64f86c94-w75zb
1702388647,0.33581908888888873,webhosting-system,webhosting-operator-5d64f86c94-w75zb
1702388677,0.32561934444444424,webhosting-system,webhosting-operator-5d64f86c94-w75zb
1702388707,0.3287065333333332,webhosting-system,webhosting-operator-5d64f86c94-w75zb
1702388737,0.3387500888888891,webhosting-system,webhosting-operator-5d64f86c94-w75zb
1702388767,0.34137882222222227,webhosting-system,webhosting-operator-5d64f86c94-w75zb
1702388797,0.3302709777777778,webhosting-system,webhosting-operator-5d64f86c94-w75zb
1702387897,0.004525125,webhosting-system,webhosting-operator-69647fcc6c-gzk86
