ts,value,namespace,pod
1702387897,16086320,webhosting-system,webhosting-operator-5d64f86c94-w75zb
1702387927,24277472,webhosting-system,webhosting-operator-5d64f86c94-w75zb
1702387957,35973944,webhosting-system,webhosting-operator-5d64f86c94-w75zb
1702387987,43919264,webhosting-system,webhosting-operator-5d64f86c94-w75zb
1702388017,42482688,webhosting-system,webhosting-operator-5d64f86c94-w75zb
1702388047,70896264,webhosting-system,webhosting-operator-5d64f86c94-w75zb
1702388077,76887312,webhosting-system,webhosting-operator-5d64f86c94-w75zb
1702388107,79892080,webhosting-system,webhosting-operator-5d64f86c94-w75zb
1702388137,75840416,webhosting-system,webhosting-operator-5d64f86c94-w75zb
1702388167,102087312,webhosting-system,webhosting-operator-5d64f86c94-w75zb
1702388197,99513152,webhosting-system,webhosting-operator-5d64f86c94-w75zb
1702388227,93445120,webhosting-system,webhosting-operator-5d64f86c94-w75zb
1702388257,91862992,webhosting-system,webhosting-operator-5d64f86c94-w75zb
1702388287,158467144,webhosting-system,webhosting-operator-5d64f86c94-w75zb
1702388317,125383160,webhosting-system,webhosting-operator-5d64f86c94-w75zb
1702388347,146840632,webhosting-system,webhosting-operator-5d64f86c94-w75zb
1702388377,174619320,webhosting-system,webhosting-operator-5d64f86c94-w75zb
1702388407,190361920,webhosting-system,webhosting-operator-5d64f86c94-w75zb
1702388437,169054968,webhosting-system,webhosting-operator-5d64f86c94-w75zb
1702388467,154553280,webhosting-system,webhosting-operator-5d64f86c94-w75zb
1702388497,155242672,webhosting-system,webhosting-operator-5d64f86c94-w75zb
1702388527,201315136,webhosting-system,webhosting-operator-5d64f86c94-w75zb
1702388557,206489696,webhosting-system,webhosting-operator-5d64f86c94-w75zb
1702388587,235939280,webhosting-system,webhosting-operator-5d64f86c94-w75zb
1702388617,207090200,webhosting-system,webhosting-operator-5d64f86c94-w75zb
1702388647,242653656,webhosting-system,webhosting-operator-5d64f86c94-w75zb
1702388677,213644752,webhosting-system,webhosting-operator-5d64f86c94-w75zb
1702388707,167297192,webhosting-system,webhosting-operator-5d64f86c94-w75zb
1702388737,173916200,webhosting-system,webhosting-operator-5d64f86c94-w75zb
1702388767,214368520,webhosting-system,webhosting-operator-5d64f86c94-w75zb
1702388797,194906352,webhosting-system,webhosting-operator-5d64f86c94-w75zb
