ts,value,namespace,pod
1702387897,14071.366666666667,webhosting-system,webhosting-operator-5d64f86c94-2cxg2
1702387927,14071.366666666667,webhosting-system,webhosting-operator-5d64f86c94-2cxg2
1702387897,17486.466666666667,webhosting-system,webhosting-operator-5d64f86c94-w75zb
1702387927,2535.3333333333335,webhosting-system,webhosting-operator-5d64f86c94-w75zb
1702387957,889688.6,webhosting-system,webhosting-operator-5d64f86c94-w75zb
1702387987,318939.73333333334,webhosting-system,webhosting-operator-5d64f86c94-w75zb
1702388017,867449.3,webhosting-system,webhosting-operator-5d64f86c94-w75zb
1702388047,698835.5,webhosting-system,webhosting-operator-5d64f86c94-w75zb
1702388077,747399.0666666667,webhosting-system,webhosting-operator-5d64f86c94-w75zb
1702388107,1261657.9333333333,webhosting-system,webhosting-operator-5d64f86c94-w75zb
1702388137,1045342.8333333334,webhosting-system,webhosting-operator-5d64f86c94-w75zb
1702388167,668932.2333333333,webhosting-system,webhosting-operator-5d64f86c94-w75zb
1702388197,1240966.5666666667,webhosting-system,webhosting-operator-5d64f86c94-w75zb
1702388227,1553285.7,webhosting-system,webhosting-operator-5d64f86c94-w75zb
1702388257,1290072.0333333334,webhosting-system,webhosting-operator-5d64f86c94-w75zb
1702388287,1528271.2,webhosting-system,webhosting-operator-5d64f86c94-w75zb
1702388317,637952.5,webhosting-system,webhosting-operator-5d64f86c94-w75zb
1702388347,1720651.1333333333,webhosting-system,webhosting-operator-5d64f86c94-w75zb
1702388377,2122503.566666667,webhosting-system,webhosting-operator-5d64f86c94-w75zb
1702388407,1425050.7333333334,webhosting-system,webhosting-operator-5d64f86c94-w75zb
1702388437,1502659.3666666667,webhosting-system,webhosting-operator-5d64f86c94-w75zb
1702388467,2144929.1333333333,webhosting-system,webhosting-operator-5d64f86c94-w75zb
1702388497,2312070.7333333334,webhosting-system,webhosting-operator-5d64f86c94-w75zb
1702388527,1606005.9333333333,webhosting-system,webhosting-operator-5d64f86c94-w75zb
1702388557,1602424.0333333334,webhosting-system,webhosting-operator-5d64f86c94-w75zb
1702388587,1081974.9666666666,webhosting-system,webhosting-operator-5d64f86c94-w75zb
1702388617,2553888.8666666667,webhosting-system,webhosting-operator-5d64f86c94-w75zb
1702388647,650652.9666666667,webhosting-system,webhosting-operator-5d64f86c94-w75zb
1702388677,2642260.466666667,webhosting-system,webhosting-operator-5d64f86c94-w75zb
1702388707,1452548.9333333333,webhosting-system,webhosting-operator-5d64f86c94-w75zb
1702388737,1062170.8333333333,webhosting-system,webhosting-operator-5d64f86c94-w75zb
1702388767,1867903.2666666666,webhosting-system,webhosting-operator-5d64f86c94-w75zb
1702388797,1780161.1333333333,webhosting-system,webhosting-operator-5d64f86c94-w75zb
1702387897,14772.433333333332,webhosting-system,webhosting-operator-69647fcc6c-gzk86
