ts,value,namespace,pod
1702387897,10751.133333333333,webhosting-system,webhosting-operator-5d64f86c94-2cxg2
1702387927,10751.133333333333,webhosting-system,webhosting-operator-5d64f86c94-2cxg2
1702387897,10733.833333333334,webhosting-system,webhosting-operator-5d64f86c94-w75zb
1702387927,5193.733333333334,webhosting-system,webhosting-operator-5d64f86c94-w75zb
1702387957,1042074.7333333333,webhosting-system,webhosting-operator-5d64f86c94-w75zb
1702387987,372408.3,webhosting-system,webhosting-operator-5d64f86c94-w75zb
1702388017,1043662.6666666666,webhosting-system,webhosting-operator-5d64f86c94-w75zb
1702388047,852924.5333333333,webhosting-system,webhosting-operator-5d64f86c94-w75zb
1702388077,927717.9333333333,webhosting-system,webhosting-operator-5d64f86c94-w75zb
1702388107,1578863.7333333334,webhosting-system,webhosting-operator-5d64f86c94-w75zb
1702388137,1317763.8666666667,webhosting-system,webhosting-operator-5d64f86c94-w75zb
1702388167,852808.0666666667,webhosting-system,webhosting-operator-5d64f86c94-w75zb
1702388197,1585971.4333333333,webhosting-system,webhosting-operator-5d64f86c94-w75zb
1702388227,1990781.9666666666,webhosting-system,webhosting-operator-5d64f86c94-w75zb
1702388257,1665827.5,webhosting-system,webhosting-operator-5d64f86c94-w75zb
1702388287,1983305.8,webhosting-system,webhosting-operator-5d64f86c94-w75zb
1702388317,825759.8333333334,webhosting-system,webhosting-operator-5d64f86c94-w75zb
1702388347,2239610.6666666665,webhosting-system,webhosting-operator-5d64f86c94-w75zb
1702388377,2774187.3666666667,webhosting-system,webhosting-operator-5d64f86c94-w75zb
1702388407,1870084.1333333333,webhosting-system,webhosting-operator-5d64f86c94-w75zb
1702388437,1971427.7333333334,webhosting-system,webhosting-operator-5d64f86c94-w75zb
1702388467,2812796.6,webhosting-system,webhosting-operator-5d64f86c94-w75zb
1702388497,3046481.3,webhosting-system,webhosting-operator-5d64f86c94-w75zb
1702388527,2152874.3,webhosting-system,webhosting-operator-5d64f86c94-w75zb
1702388557,2218777,webhosting-system,webhosting-operator-5d64f86c94-w75zb
1702388587,1499222.7333333334,webhosting-system,webhosting-operator-5d64f86c94-w75zb
1702388617,3532417.066666667,webhosting-system,webhosting-operator-5d64f86c94-w75zb
1702388647,900914.9333333333,webhosting-system,webhosting-operator-5d64f86c94-w75zb
1702388677,3642596.3333333335,webhosting-system,webhosting-operator-5d64f86c94-w75zb
1702388707,2007552.4666666666,webhosting-system,webhosting-operator-5d64f86c94-w75zb
1702388737,1458461.9,webhosting-system,webhosting-operator-5d64f86c94-w75zb
1702388767,2549454.9,webhosting-system,webhosting-operator-5d64f86c94-w75zb
1702388797,2419402.966666667,webhosting-system,webhosting-operator-5d64f86c94-w75zb
1702387897,13026.266666666666,webhosting-system,webhosting-operator-69647fcc6c-gzk86
