ts,value
1707146838,0.4462499999999997
1707146853,0.4049999999999999
1707146868,0.9408695652173907
1707146883,0.9279807692307691
1707146898,0.888157894736842
1707146913,0.8623684210526311
1707146928,0.7990350877192995
1707146943,0.7648245614035092
1707146958,0.6843859649122805
1707146973,0.6414912280701763
1707146988,0.5442105263157891
1707147003,0.49556122448979645
1707147018,0.43132352941176366
1707147033,0.42767361111111135
1707147048,0.9643193384223918
1707147063,2.299939516129033
1707147078,4.950530503978779
1707147093,9.248120300751879
1707147108,10
1707147123,10
1707147138,10
1707147153,10
1707147168,10
1707147183,10
1707147198,10
1707147213,10
1707147228,10
1707147243,10
1707147258,10
1707147273,10
1707147288,10
1707147303,10
1707147318,10
1707147333,10
1707147348,10
1707147363,10
1707147378,10
1707147393,10
1707147408,10
1707147423,10
1707147438,10
1707147453,10
1707147468,10
1707147483,10
1707147498,10
1707147513,10
1707147528,10
1707147543,10
1707147558,10
1707147573,10
1707147588,10
1707147603,10
1707147618,10
1707147633,10
1707147648,10
1707147663,10
1707147678,10
1707147693,10
1707147708,10
1707147723,10
