ts,value
1707146823,NaN
1707146838,0.7660000000000002
1707146853,0.6051999999999975
1707146868,0.8459120879120886
1707146883,0.9039250000000004
1707146898,0.8483972602739731
1707146913,0.8128161434977574
1707146928,0.7429539748953967
1707146943,0.7009629629629638
1707146958,0.6291724137931005
1707146973,0.5861691729323326
1707146988,0.5308979591836741
1707147003,0.49842763157894177
1707147018,0.49834349030470626
1707147033,0.5481458333333346
1707147048,0.887768452982811
1707147063,0.9316246001744692
1707147078,8.948367593712208
1707147093,9.308585833123262
1707147108,9.571010230179025
1707147123,9.63151161433407
1707147138,10
1707147153,10
1707147168,10
1707147183,10
1707147198,10
1707147213,10
1707147228,10
1707147243,10
1707147258,10
1707147273,10
1707147288,10
1707147303,10
1707147318,10
1707147333,10
1707147348,10
1707147363,10
1707147378,10
1707147393,10
1707147408,10
1707147423,10
1707147438,10
1707147453,10
1707147468,10
1707147483,10
1707147498,10
1707147513,10
1707147528,10
1707147543,10
1707147558,10
1707147573,10
1707147588,10
1707147603,10
1707147618,10
1707147633,10
1707147648,10
1707147663,10
1707147678,10
1707147693,10
1707147708,10
1707147723,10
