ts,value,namespace,pod
1707146823,15275608,sharding-system,sharder-6bb9778d6b-6w8xh
1707146838,17731960,sharding-system,sharder-6bb9778d6b-6w8xh
1707146853,16191520,sharding-system,sharder-6bb9778d6b-6w8xh
1707146868,16241416,sharding-system,sharder-6bb9778d6b-6w8xh
1707146883,17719248,sharding-system,sharder-6bb9778d6b-6w8xh
1707146898,16388632,sharding-system,sharder-6bb9778d6b-6w8xh
1707146913,16485128,sharding-system,sharder-6bb9778d6b-6w8xh
1707146928,19007216,sharding-system,sharder-6bb9778d6b-6w8xh
1707146943,16458216,sharding-system,sharder-6bb9778d6b-6w8xh
1707146958,16405288,sharding-system,sharder-6bb9778d6b-6w8xh
1707146973,16411008,sharding-system,sharder-6bb9778d6b-6w8xh
1707146988,17672168,sharding-system,sharder-6bb9778d6b-6w8xh
1707147003,15369312,sharding-system,sharder-6bb9778d6b-6w8xh
1707147018,16681184,sharding-system,sharder-6bb9778d6b-6w8xh
1707147033,16471648,sharding-system,sharder-6bb9778d6b-6w8xh
1707147048,20015088,sharding-system,sharder-6bb9778d6b-6w8xh
1707147063,17592848,sharding-system,sharder-6bb9778d6b-6w8xh
1707147078,15030992,sharding-system,sharder-6bb9778d6b-6w8xh
1707147093,19312736,sharding-system,sharder-6bb9778d6b-6w8xh
1707147108,19770792,sharding-system,sharder-6bb9778d6b-6w8xh
1707147123,20336160,sharding-system,sharder-6bb9778d6b-6w8xh
1707147138,18070304,sharding-system,sharder-6bb9778d6b-6w8xh
1707147153,18280808,sharding-system,sharder-6bb9778d6b-6w8xh
1707147168,16628880,sharding-system,sharder-6bb9778d6b-6w8xh
1707147183,20330816,sharding-system,sharder-6bb9778d6b-6w8xh
1707147198,20177648,sharding-system,sharder-6bb9778d6b-6w8xh
1707147213,18026896,sharding-system,sharder-6bb9778d6b-6w8xh
1707147228,18549832,sharding-system,sharder-6bb9778d6b-6w8xh
1707147243,19749560,sharding-system,sharder-6bb9778d6b-6w8xh
1707147258,16610400,sharding-system,sharder-6bb9778d6b-6w8xh
1707147273,16560600,sharding-system,sharder-6bb9778d6b-6w8xh
1707147288,16624760,sharding-system,sharder-6bb9778d6b-6w8xh
1707147303,16567576,sharding-system,sharder-6bb9778d6b-6w8xh
1707147318,16580200,sharding-system,sharder-6bb9778d6b-6w8xh
1707147333,17900160,sharding-system,sharder-6bb9778d6b-6w8xh
1707147348,17842960,sharding-system,sharder-6bb9778d6b-6w8xh
1707147363,16677184,sharding-system,sharder-6bb9778d6b-6w8xh
1707147378,16648984,sharding-system,sharder-6bb9778d6b-6w8xh
1707146823,15279712,sharding-system,sharder-6bb9778d6b-cxk47
1707146838,15409600,sharding-system,sharder-6bb9778d6b-cxk47
1707146853,13677912,sharding-system,sharder-6bb9778d6b-cxk47
1707146868,15884552,sharding-system,sharder-6bb9778d6b-cxk47
1707146883,15530408,sharding-system,sharder-6bb9778d6b-cxk47
1707146898,15498936,sharding-system,sharder-6bb9778d6b-cxk47
1707146913,14071504,sharding-system,sharder-6bb9778d6b-cxk47
1707146928,14971272,sharding-system,sharder-6bb9778d6b-cxk47
1707146943,16703344,sharding-system,sharder-6bb9778d6b-cxk47
1707146958,15523440,sharding-system,sharder-6bb9778d6b-cxk47
1707146973,17615952,sharding-system,sharder-6bb9778d6b-cxk47
1707146988,18687448,sharding-system,sharder-6bb9778d6b-cxk47
1707147003,18675528,sharding-system,sharder-6bb9778d6b-cxk47
1707147018,16154624,sharding-system,sharder-6bb9778d6b-cxk47
1707147033,16223560,sharding-system,sharder-6bb9778d6b-cxk47
1707147048,15558416,sharding-system,sharder-6bb9778d6b-cxk47
1707147063,15839912,sharding-system,sharder-6bb9778d6b-cxk47
1707147078,15527976,sharding-system,sharder-6bb9778d6b-cxk47
1707147093,15478664,sharding-system,sharder-6bb9778d6b-cxk47
1707147108,15321616,sharding-system,sharder-6bb9778d6b-cxk47
