ts,value,namespace,pod
1707146823,3035.43075,sharding-system,sharder-5988c54bf5-2xpzs
1707146823,15852.125795999998,sharding-system,sharder-6bb9778d6b-6w8xh
1707146838,20795.561019,sharding-system,sharder-6bb9778d6b-6w8xh
1707146853,16213.98,sharding-system,sharder-6bb9778d6b-6w8xh
1707146868,21163.600000000002,sharding-system,sharder-6bb9778d6b-6w8xh
1707146883,29604.06,sharding-system,sharder-6bb9778d6b-6w8xh
1707146898,29604.06,sharding-system,sharder-6bb9778d6b-6w8xh
1707146913,17764.420000000002,sharding-system,sharder-6bb9778d6b-6w8xh
1707146928,18530,sharding-system,sharder-6bb9778d6b-6w8xh
1707146943,18167.18,sharding-system,sharder-6bb9778d6b-6w8xh
1707146958,12458.16,sharding-system,sharder-6bb9778d6b-6w8xh
1707146973,14414.66,sharding-system,sharder-6bb9778d6b-6w8xh
1707146988,14414.66,sharding-system,sharder-6bb9778d6b-6w8xh
1707147003,18428.48,sharding-system,sharder-6bb9778d6b-6w8xh
1707147018,14695.74,sharding-system,sharder-6bb9778d6b-6w8xh
1707147033,27455.760000000002,sharding-system,sharder-6bb9778d6b-6w8xh
1707147048,21485.62,sharding-system,sharder-6bb9778d6b-6w8xh
1707147063,31755.04,sharding-system,sharder-6bb9778d6b-6w8xh
1707147078,37774.36,sharding-system,sharder-6bb9778d6b-6w8xh
1707147093,66826.76,sharding-system,sharder-6bb9778d6b-6w8xh
1707147108,64854,sharding-system,sharder-6bb9778d6b-6w8xh
1707147123,85263.86,sharding-system,sharder-6bb9778d6b-6w8xh
1707147138,96822.16,sharding-system,sharder-6bb9778d6b-6w8xh
1707147153,54543.96,sharding-system,sharder-6bb9778d6b-6w8xh
1707147168,36088.42,sharding-system,sharder-6bb9778d6b-6w8xh
1707147183,32469.4,sharding-system,sharder-6bb9778d6b-6w8xh
1707147198,32469.4,sharding-system,sharder-6bb9778d6b-6w8xh
1707147213,36779.76,sharding-system,sharder-6bb9778d6b-6w8xh
1707147228,37611.36,sharding-system,sharder-6bb9778d6b-6w8xh
1707147243,42733.5,sharding-system,sharder-6bb9778d6b-6w8xh
1707147258,40702.26,sharding-system,sharder-6bb9778d6b-6w8xh
1707147273,29076.38,sharding-system,sharder-6bb9778d6b-6w8xh
1707147288,29076.38,sharding-system,sharder-6bb9778d6b-6w8xh
1707147303,17885.9,sharding-system,sharder-6bb9778d6b-6w8xh
1707147318,17885.9,sharding-system,sharder-6bb9778d6b-6w8xh
1707147333,23912.14,sharding-system,sharder-6bb9778d6b-6w8xh
1707147348,28631.34,sharding-system,sharder-6bb9778d6b-6w8xh
1707147363,48976.200000000004,sharding-system,sharder-6bb9778d6b-6w8xh
1707147378,36168.94,sharding-system,sharder-6bb9778d6b-6w8xh
1707147393,44104.12,sharding-system,sharder-6bb9778d6b-6w8xh
1707147408,33199.157699999996,sharding-system,sharder-6bb9778d6b-6w8xh
1707147423,24538.38684,sharding-system,sharder-6bb9778d6b-6w8xh
1707147438,0,sharding-system,sharder-6bb9778d6b-6w8xh
1707146823,3774.465053333333,sharding-system,sharder-6bb9778d6b-cxk47
1707146838,16194.595842333336,sharding-system,sharder-6bb9778d6b-cxk47
1707146853,67114.21302133334,sharding-system,sharder-6bb9778d6b-cxk47
1707146868,73341.77302133333,sharding-system,sharder-6bb9778d6b-cxk47
1707146883,163756.084096,sharding-system,sharder-6bb9778d6b-cxk47
1707146898,172258.24,sharding-system,sharder-6bb9778d6b-cxk47
1707146913,171448.08000000002,sharding-system,sharder-6bb9778d6b-cxk47
1707146928,180941.48,sharding-system,sharder-6bb9778d6b-cxk47
1707146943,166582.16,sharding-system,sharder-6bb9778d6b-cxk47
1707146958,165132.74,sharding-system,sharder-6bb9778d6b-cxk47
1707146973,169135.94,sharding-system,sharder-6bb9778d6b-cxk47
1707146988,176061.86000000002,sharding-system,sharder-6bb9778d6b-cxk47
1707147003,180124.2,sharding-system,sharder-6bb9778d6b-cxk47
1707147018,180124.2,sharding-system,sharder-6bb9778d6b-cxk47
1707147033,161629.82,sharding-system,sharder-6bb9778d6b-cxk47
1707147048,161629.82,sharding-system,sharder-6bb9778d6b-cxk47
1707147063,188412.82,sharding-system,sharder-6bb9778d6b-cxk47
1707147078,128581.94,sharding-system,sharder-6bb9778d6b-cxk47
1707147093,141315.78,sharding-system,sharder-6bb9778d6b-cxk47
1707147108,118561.42,sharding-system,sharder-6bb9778d6b-cxk47
1707147123,122020.76000000001,sharding-system,sharder-6bb9778d6b-cxk47
1707147138,104255.84,sharding-system,sharder-6bb9778d6b-cxk47
1707147153,109709.56,sharding-system,sharder-6bb9778d6b-cxk47
1707147168,109709.56,sharding-system,sharder-6bb9778d6b-cxk47
1707147183,117094.38,sharding-system,sharder-6bb9778d6b-cxk47
1707147198,117094.38,sharding-system,sharder-6bb9778d6b-cxk47
1707147213,164214.44,sharding-system,sharder-6bb9778d6b-cxk47
1707147228,122690.44,sharding-system,sharder-6bb9778d6b-cxk47
1707147243,155822.94,sharding-system,sharder-6bb9778d6b-cxk47
1707147258,130039,sharding-system,sharder-6bb9778d6b-cxk47
1707147273,176993.88,sharding-system,sharder-6bb9778d6b-cxk47
1707147288,140119.54,sharding-system,sharder-6bb9778d6b-cxk47
1707147303,159391.32,sharding-system,sharder-6bb9778d6b-cxk47
1707147318,167732.28,sharding-system,sharder-6bb9778d6b-cxk47
1707147333,163032.34,sharding-system,sharder-6bb9778d6b-cxk47
1707147348,154954.98,sharding-system,sharder-6bb9778d6b-cxk47
1707147363,112030.90000000001,sharding-system,sharder-6bb9778d6b-cxk47
1707147378,141619.88,sharding-system,sharder-6bb9778d6b-cxk47
1707147393,147723.5,sharding-system,sharder-6bb9778d6b-cxk47
1707147408,111031.14,sharding-system,sharder-6bb9778d6b-cxk47
1707147423,229007.56,sharding-system,sharder-6bb9778d6b-cxk47
1707147438,242025.34,sharding-system,sharder-6bb9778d6b-cxk47
1707147453,234253.16,sharding-system,sharder-6bb9778d6b-cxk47
1707147468,126360.28,sharding-system,sharder-6bb9778d6b-cxk47
1707147483,137997.2,sharding-system,sharder-6bb9778d6b-cxk47
