ts,value
1707149256,109
1707149271,255
1707149286,408
1707149301,559
1707149316,707
1707149331,857
1707149346,1012
1707149361,1159
1707149376,1305
1707149391,1456
1707149406,1605
1707149421,1764
1707149436,1910
1707149451,2056
1707149466,2213
1707149481,2366
1707149496,2508
1707149511,2655
1707149526,2807
1707149541,2956
1707149556,3107
1707149571,3256
1707149586,3398
1707149601,3568
1707149616,3708
1707149631,3857
1707149646,4004
1707149661,4162
1707149676,4307
1707149691,4455
1707149706,4610
1707149721,4751
1707149736,4905
1707149751,5058
1707149766,5208
1707149781,5359
1707149796,5510
1707149811,5655
1707149826,5805
1707149841,5959
1707149856,6104
1707149871,6254
1707149886,6412
1707149901,6557
1707149916,6707
1707149931,6861
1707149946,7012
1707149961,7156
1707149976,7308
1707149991,7452
1707150006,7614
1707150021,7754
1707150036,7905
1707150051,8061
1707150066,8208
1707150081,8355
1707150096,8508
1707150111,8663
1707150126,8810
1707150141,8961
