ts,value,controller
1707148062,5.047666666666666,website-generator
1707148077,7.547666666666667,website-generator
1707148092,9.98,website-generator
1707148107,9.98,website-generator
1707148122,10,website-generator
1707148137,10.02,website-generator
1707148152,10.02,website-generator
1707148167,10,website-generator
1707148182,10,website-generator
1707148197,10,website-generator
1707148212,10,website-generator
1707148227,10,website-generator
1707148242,10,website-generator
1707148257,10,website-generator
1707148272,9.98,website-generator
1707148287,10,website-generator
1707148302,9.98,website-generator
1707148317,10,website-generator
1707148332,10,website-generator
1707148347,10,website-generator
1707148362,10,website-generator
1707148377,10,website-generator
1707148392,10,website-generator
1707148407,10,website-generator
1707148422,10,website-generator
1707148437,10,website-generator
1707148452,10,website-generator
1707148467,9.98,website-generator
1707148482,10,website-generator
1707148497,10.02,website-generator
1707148512,10.02,website-generator
1707148527,10,website-generator
1707148542,10,website-generator
1707148557,10,website-generator
1707148572,10,website-generator
1707148587,10,website-generator
1707148602,10,website-generator
1707148617,10,website-generator
1707148632,10,website-generator
1707148647,10,website-generator
1707148662,10,website-generator
1707148677,10.02,website-generator
1707148692,9.98,website-generator
1707148707,10,website-generator
1707148722,10,website-generator
1707148737,10,website-generator
1707148752,10,website-generator
1707148767,10.02,website-generator
1707148782,10,website-generator
1707148797,10.02,website-generator
1707148812,10,website-generator
1707148827,10,website-generator
1707148842,10,website-generator
1707148857,9.98,website-generator
1707148872,10,website-generator
1707148887,10,website-generator
1707148902,10.02,website-generator
1707148917,10,website-generator
1707148932,10,website-generator
1707148062,0,website-mutator
1707148077,1.6571555555555557,website-mutator
1707148092,4.880026666666666,website-mutator
1707148107,8.783853333333335,website-mutator
1707148122,14.910264666666665,website-mutator
1707148137,19.18,website-mutator
1707148152,25.580000000000002,website-mutator
1707148167,29.2,website-mutator
1707148182,35.6,website-mutator
1707148197,39.18,website-mutator
1707148212,45.56,website-mutator
1707148227,49.160000000000004,website-mutator
1707148242,55.58,website-mutator
1707148257,59.14,website-mutator
1707148272,65.6,website-mutator
1707148287,69.14,website-mutator
1707148302,75.62,website-mutator
1707148317,79.14,website-mutator
1707148332,85.56,website-mutator
1707148347,89.16,website-mutator
1707148362,95.56,website-mutator
1707148377,99.12,website-mutator
1707148392,105.54,website-mutator
1707148407,109.14,website-mutator
1707148422,115.58,website-mutator
1707148437,119.16,website-mutator
1707148452,125.60000000000001,website-mutator
1707148467,128.9,website-mutator
1707148482,135.58,website-mutator
1707148497,138.9,website-mutator
1707148512,145.82,website-mutator
1707148527,148.94,website-mutator
1707148542,155.76,website-mutator
1707148557,159.04,website-mutator
1707148572,165.76,website-mutator
1707148587,169.08,website-mutator
1707148602,175.66,website-mutator
1707148617,179.08,website-mutator
1707148632,185.66,website-mutator
1707148647,189.06,website-mutator
1707148662,195.64000000000001,website-mutator
1707148677,199.04,website-mutator
1707148692,205.58,website-mutator
1707148707,209.06,website-mutator
1707148722,215.56,website-mutator
1707148737,218.9,website-mutator
1707148752,225.68,website-mutator
1707148767,228.92000000000002,website-mutator
1707148782,235.84,website-mutator
1707148797,238.96,website-mutator
1707148812,245.8,website-mutator
1707148827,248.94,website-mutator
1707148842,255.76000000000002,website-mutator
1707148857,258.96,website-mutator
1707148872,265.78000000000003,website-mutator
1707148887,268.66,website-mutator
1707148902,275.66,website-mutator
1707148917,278.68,website-mutator
1707148932,285.98,website-mutator
