ts,value,namespace,pod
1707148032,4822.943166666667,sharding-system,sharder-5b7657fc99-7rvt4
1707148047,7758.168458333334,sharding-system,sharder-5b7657fc99-7rvt4
1707148062,14103.1,sharding-system,sharder-5b7657fc99-7rvt4
1707148077,14103.1,sharding-system,sharder-5b7657fc99-7rvt4
1707148092,19576.96,sharding-system,sharder-5b7657fc99-7rvt4
1707148107,29688.4,sharding-system,sharder-5b7657fc99-7rvt4
1707148122,33550.520000000004,sharding-system,sharder-5b7657fc99-7rvt4
1707148137,23270.14,sharding-system,sharder-5b7657fc99-7rvt4
1707148152,19987.600000000002,sharding-system,sharder-5b7657fc99-7rvt4
1707148167,20703.600000000002,sharding-system,sharder-5b7657fc99-7rvt4
1707148182,28525.16,sharding-system,sharder-5b7657fc99-7rvt4
1707148197,21696.260000000002,sharding-system,sharder-5b7657fc99-7rvt4
1707148212,26918.940000000002,sharding-system,sharder-5b7657fc99-7rvt4
1707148227,26957.920000000002,sharding-system,sharder-5b7657fc99-7rvt4
1707148242,30823.38,sharding-system,sharder-5b7657fc99-7rvt4
1707148257,23027.48,sharding-system,sharder-5b7657fc99-7rvt4
1707148272,25650.940000000002,sharding-system,sharder-5b7657fc99-7rvt4
1707148287,32730.9,sharding-system,sharder-5b7657fc99-7rvt4
1707148302,30515.52,sharding-system,sharder-5b7657fc99-7rvt4
1707148317,21742.14,sharding-system,sharder-5b7657fc99-7rvt4
1707148332,26336.86,sharding-system,sharder-5b7657fc99-7rvt4
1707148347,33170.04,sharding-system,sharder-5b7657fc99-7rvt4
1707148362,33449.96,sharding-system,sharder-5b7657fc99-7rvt4
1707148377,29429.78,sharding-system,sharder-5b7657fc99-7rvt4
1707148392,26815.22,sharding-system,sharder-5b7657fc99-7rvt4
1707148407,35522,sharding-system,sharder-5b7657fc99-7rvt4
1707148422,26602.5,sharding-system,sharder-5b7657fc99-7rvt4
1707148437,30190.440000000002,sharding-system,sharder-5b7657fc99-7rvt4
1707148452,22697.8,sharding-system,sharder-5b7657fc99-7rvt4
1707148467,30736.78,sharding-system,sharder-5b7657fc99-7rvt4
1707148482,25981.88,sharding-system,sharder-5b7657fc99-7rvt4
1707148497,26840.72,sharding-system,sharder-5b7657fc99-7rvt4
1707148512,28727.5,sharding-system,sharder-5b7657fc99-7rvt4
1707148527,36296.04,sharding-system,sharder-5b7657fc99-7rvt4
1707148542,26337.82,sharding-system,sharder-5b7657fc99-7rvt4
1707148557,33412.12,sharding-system,sharder-5b7657fc99-7rvt4
1707148572,23621.36,sharding-system,sharder-5b7657fc99-7rvt4
1707148587,30817.260000000002,sharding-system,sharder-5b7657fc99-7rvt4
